model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
claude-haiku-4-5,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.85,"This is a valid bug report describing a reproducible issue with keyboard input handling in UEFI shell under specific conditions (QEMU -nographic mode), which relates to OvmfPkg firmware functionality.",False,needs-maintainer-feedback
claude-haiku-4-5,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.92,"This is a valid bug report about EDK II's coding style enforcement tool (Uncrustify) producing output that contradicts the project's documented Coding Standard, which is directly relevant to EDK II build infrastructure and code quality.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-haiku-4-5,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.92,"This is a legitimate bug report describing a missing retry mechanism in UsbMassStorageDxe that could improve robustness against transient USB failures, which is a valid firmware reliability concern for the EDK II project.",False,needs-maintainer-feedback|needs-triage
claude-haiku-4-5,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.92,This is a legitimate bug report about a parser issue in an EDK II module (MdeModulePkg/HiiDatabaseDxe) with specific function identification that warrants investigation.,False,
claude-haiku-4-5,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.85,"This is a valid bug report identifying a code issue introduced by a specific PR in MdeModulePkg's SetupBrowserDxe component, with enough context to investigate.",False,needs-triage
claude-haiku-4-5,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.95,"This is a legitimate bug report describing a build failure with a specific compiler version in ShellPkg, which is a valid EDK II package and relates to EDK II build infrastructure.",False,
claude-haiku-4-5,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.85,"This is a valid bug report describing a guest startup failure on a specific platform (RISC-V with qemu-kvm), which relates to EDK II firmware functionality in OvmfPkg, though it lacks reproduction steps and error details.",False,needs-maintainer-feedback
claude-haiku-4-5,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.92,"This is a legitimate bug report about an incorrect constant definition in MdePkg, which is a core EDK II package, and involves a potential mismatch that could affect firmware code using this definition.",False,needs-maintainer-feedback
claude-haiku-4-5,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.95,"This is a genuine build failure in EmulatorPkg affecting Unix/Host compilation due to a missing system header file, which is a valid bug report for EDK II build infrastructure.",False,needs-triage
claude-haiku-4-5,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.95,"This is a legitimate build failure bug report for RedfishPkg with a specific linker error (_memcpy undefined symbol) in a particular build configuration (CLANGPDB, IA32 NOOPT), which is reproducible and actionable.",False,needs-maintainer-feedback|needs-triage
