model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-4o-mini,B,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,mikebeaton,medium,"The bug involves keyboard input in the UEFI shell, which aligns with the type of issues mikebeaton has handled regarding key response in Arm platform firmware menus.",False,Damien-Chen,False
gpt-4o-mini,B,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"The bug pertains to HiiDatabaseDxe and specifically mentions GetNameElement(), which aligns with YangGangUEFI's historical assignments.",False,YangGangUEFI,True
gpt-4o-mini,B,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"The bug is related to SetupBrowserDxe, which matches the historical assignment pattern for YangGangUEFI.",False,YangGangUEFI,True
gpt-4o-mini,B,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"The bug is about a GUEST start failure on RISC-V, which matches the historical assignment pattern for yechao-w.",False,yechao-w,True
gpt-4o-mini,B,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is related to a build failure in RedfishPkg with a CLANGPDB error, matching the historical assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-4o-mini,B,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is related to a build failure in RedfishPkg with a CLANGPDB error, matching the historical assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-4o-mini,B,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"The bug pertains to BaseTools and involves updating a toolchain component, which aligns with makubacki's assignment for NASM/toolchain bugs.",False,makubacki,True
gpt-4o-mini,B,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"The bug relates to a regression in Arm platform firmware menus, which matches the historical assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-4o-mini,B,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,"The bug pertains to a build issue with VS2022 in CryptoPkg, which matches the historical assignment pattern for VS2022 build errors.",False,ardbiesheuvel,True
gpt-4o-mini,B,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"The bug pertains to OS-runtime crashes in RISC-V timer libraries, which aligns with zevorn's historical assignment pattern.",False,zevorn,True
gpt-4o-mini,B,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,"The bug pertains to ECC Check failures in the BaseTools package, which aligns with bexcran's historical assignment of ECC Check / CI failure bugs.",False,bexcran,True
gpt-4o-mini,B,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,"The bug pertains to adding MRDIMM support in the MemoryDeviceMemoryTechnologyTable, which aligns with NingFengGit's assignment for MRDIMM additions in ShellPkg SMBIOS.",False,NingFengGit,True
gpt-4o-mini,B,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"The bug pertains to BSP/AP multiprocessor synchronization issues, which matches philnoh2's assignment pattern.",False,philnoh2,True
gpt-4o-mini,B,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,3,needs-maintainer-feedback,mdkinney,high,"The bug is a build error with the CLANG compiler specifically in the CryptoPkg, which matches the historical assignment pattern for mdkinney.",False,mdkinney,True
gpt-4o-mini,B,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,5,needs-maintainer-feedback,vit9696,high,"The bug pertains to UEFI runtime drivers and their executability after EndOfDxe, which matches the specific pattern assigned to vit9696.",False,vit9696,True
gpt-4o-mini,B,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,11,needs-maintainer-feedback,yechao-w,high,"The bug pertains to TCG2/TPM2 support on RISC-V, which aligns with yechao-w's assignment of QEMU-KVM guest-boot failure bugs on RISC-V.",False,Vogtinator,False
gpt-4o-mini,B,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,1,needs-maintainer-feedback,HunterChang030,high,"The bug pertains to OpalPassword device list handling, which matches the unique bug type assigned to HunterChang030.",False,HunterChang030,True
gpt-4o-mini,B,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,4,nan,YangGangUEFI,high,"The bug relates to an assertion involving a string ID, which aligns with YangGangUEFI's historical assignment of HiiDatabaseDxe and related components.",False,EricGao2015,False
gpt-4o-mini,B,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,1,needs-triage,BritChesley,high,"The bug is a CodeQL error in NetworkPkg, which matches the historical assignment pattern for BritChesley.",False,BritChesley,True
gpt-4o-mini,B,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,bug,low,1,needs-triage,SaloniKasbekar,high,"The bug involves replacing a hardcoded value with an existing #define constant, which matches the historical assignment pattern for hardcoded-value bugs in NetworkPkg.",False,SaloniKasbekar,True
gpt-4o-mini,B,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,bug,high,0,nan,wenbhou,high,"The bug pertains to variable store recovery, which matches the historical assignment pattern for wenbhou.",False,wenbhou,True
gpt-4o-mini,B,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,bug,low,2,needs-maintainer-feedback,lgao4,high,"The bug pertains to InstallProtocolInterface, which is a core DXE function assigned to lgao4.",False,lgao4,True
gpt-4o-mini,B,11088,[Bug]: <title>Add Ask deepwiki entry,other,bug,low,1,nan,Vogtinator,low,"The bug does not match any specific historical patterns, and the package is categorized as 'other', which does not have a clear assignee.",False,lgao4,False
gpt-4o-mini,B,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,bug,low,14,needs-maintainer-feedback|needs-triage,os-d,high,"The bug relates to memory management and FreePages(), which aligns with os-d's assignment of physical memory bugs.",False,os-d,True
gpt-4o-mini,B,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,bug,low,7,needs-triage,EricGao2015,high,"The bug relates to the Device Manager forms, which aligns with EricGao2015's historical assignment pattern.",False,EricGao2015,True
gpt-4o-mini,B,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,bug,high,5,needs-maintainer-feedback|needs-triage,jxu023,high,"The bug pertains to SEV and SEV-ES virtualisation boot issues, which matches the historical assignment pattern for jxu023.",False,jxu023,True
gpt-4o-mini,B,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,bug,low,1,needs-triage,EricGao2015,high,"The bug relates to the Setup Hotkey Region, which aligns with EricGao2015's historical assignment of Setup Hotkey display issues.",False,EricGao2015,True
gpt-4o-mini,B,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,bug,medium,4,needs-maintainer-feedback,os-d,high,"The bug pertains to a build failure in OvmfPkg, which aligns with os-d's assignment of physical memory-related issues.",False,r1chard-lyu,False
gpt-4o-mini,B,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,bug,medium,0,needs-triage,os-d,high,"The bug involves a LNK2001 unresolved symbol error in MdePkg, which is specifically assigned to os-d.",False,os-d,True
gpt-4o-mini,B,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,bug,medium,0,needs-triage,praravin,high,"The bug pertains to configuring TemporaryRamSize in IntelFsp2Pkg, which matches the historical assignment pattern for praravin.",False,praravin,True
gpt-4o-mini,B,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,bug,high,23,needs-triage,os-d,high,"The bug pertains to memory protection features and GCD internal data structures, which aligns with os-d's assignment of physical memory bugs.",False,os-d,True
gpt-4o-mini,B,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,bug,medium,4,needs-maintainer-feedback,praveensankarn,high,"The bug pertains to adding ARMV9 support in SmbioView, which matches the historical assignment pattern for ARMV9 support additions.",False,praveensankarn,True
gpt-4o-mini,B,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,bug,low,0,nan,liyi77,high,"The bug involves updating OpenSSL for a CVE, which matches liyi77's assignment for OpenSSL version updates in CryptoPkg.",False,liyi77,True
gpt-4o-mini,B,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,bug,low,14,needs-triage,AndreasBBS,high,"The bug involves both NetworkPkg and OvmfPkg, which matches the historical pattern for AndreasBBS handling combined driver-loading bugs.",False,AndreasBBS,True
gpt-4o-mini,B,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,bug,low,1,nan,deeglaze,high,"The bug involves a CLANGPDB linker warning in a non-RedfishPkg context, which matches the historical assignment pattern for deeglaze.",False,deeglaze,True
gpt-4o-mini,B,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,bug,low,0,nan,Damien-Chen,medium,"The bug involves a DXE_ASSERT in the UEFI Shell, which aligns with Damien-Chen's past assignment of keyboard-related issues in the UEFI shell.",False,zhurui22,False
gpt-4o-mini,B,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,bug,high,9,nan,makubacki,medium,"The bug relates to BaseTools, and makubacki has been assigned to toolchain-related issues in that package.",False,AshrafAliS,False
