model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
gpt-4o-mini,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.9,This is a genuine bug report regarding keyboard functionality in the UEFI shell under specific conditions.,False,needs-maintainer-feedback
gpt-4o-mini,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.9,This issue relates to EDK II coding style enforcement tools and describes a potential bug in the Uncrustify configuration.,False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4o-mini,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.9,"This is a genuine bug report regarding a missing retry mechanism in a specific driver, which is relevant to EDK II.",False,needs-maintainer-feedback|needs-triage
gpt-4o-mini,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.9,The issue appears to be a genuine bug report related to the HiiDatabaseDxe component in the MdeModulePkg.,False,
gpt-4o-mini,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.9,"The issue describes a potential bug in SetupBrowserDxe related to a specific pull request, which is relevant to EDK II.",False,needs-triage
gpt-4o-mini,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.9,"This is a genuine bug report regarding a build failure with GCC 16, which is relevant to the EDK II project.",False,
gpt-4o-mini,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.9,"The issue describes a potential bug related to the EDK II project involving the qemu-kvm GUEST on RISC-V, which is relevant for investigation.",False,needs-maintainer-feedback
gpt-4o-mini,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.9,"The issue describes a potential bug related to a specific value in the EDK II codebase, which warrants investigation.",False,needs-maintainer-feedback
gpt-4o-mini,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.9,This is a genuine bug report indicating a build failure due to a missing header file in the EmulatorPkg.,False,needs-triage
gpt-4o-mini,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.95,"This is a genuine bug report related to the build failure of the RedfishPkg with Clang, providing enough information to investigate.",False,needs-maintainer-feedback|needs-triage
gpt-4o-mini,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.9,"This is a genuine bug report related to the build failure of the RedfishPkg with Clang, providing enough information to investigate.",False,needs-maintainer-feedback|needs-triage
gpt-4o-mini,11878,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,standalonemmpkg,False,0.9,This issue describes a genuine build failure related to the StandaloneMmPkg for AARCH64 using CLANGDWARF.,False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4o-mini,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.9,This issue describes a specific bug related to the EDK II build infrastructure and provides a clear context for investigation.,False,needs-maintainer-feedback|needs-triage
gpt-4o-mini,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.9,This issue describes a genuine bug related to the response of the Enter key in Arm platform firmware menus.,False,needs-triage
gpt-4o-mini,11800,[Bug]: non-x86 Option Rom never be reached if multiple Option Rom images are found on non-x86 platform.,mdemodulepkg,False,0.9,This issue describes a genuine bug related to the handling of Option Rom images on non-x86 platforms.,False,needs-triage
gpt-4o-mini,11797,[Bug]: Build error when STATIC Stack check is enabled on X86 Architectures on GCC Build,mdepkg,False,0.9,This issue describes a genuine build error related to EDK II when a specific configuration is enabled.,False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4o-mini,11793,[Bug]: BdsDxe build fails with CLANGPDB,mdemodulepkg,False,0.9,"The issue describes a build failure related to EDK II, which is a valid concern for investigation.",False,needs-maintainer-feedback|needs-triage
gpt-4o-mini,11792,[Bug]: UefiPayloadPkg cannot be built with VS2022,uefipayloadpkg,False,0.9,This is a genuine bug report regarding build issues with the UefiPayloadPkg using VS2022.,False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4o-mini,11791,[Bug]: SignedCapsulePkg cannot be built with VS2022,signedcapsulepkg,False,0.9,"The issue describes a build failure related to the SignedCapsulePkg, which is relevant to EDK II.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4o-mini,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,0.9,This is a genuine bug report regarding build issues with the CryptoPkg using VS2022.,False,needs-maintainer-feedback
