model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
claude-haiku-4-5,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,mikebeaton,medium,"Arm platform firmware keyboard input regression in QEMU nographic mode; matches mikebeaton's Arm firmware-level bug pattern (not HII/UI layer), similar to the Enter key response bug precedent.",False,Damien-Chen,False
claude-haiku-4-5,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"Bug is in MdeModulePkg/HiiDatabaseDxe GetNameElement(), which matches YangGangUEFI's assigned pattern of HiiDatabaseDxe and GetNameElement bugs.",False,YangGangUEFI,True
claude-haiku-4-5,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"Bug is in SetupBrowserDxe (a core HII/Setup Browser component in MdeModulePkg) introduced by a specific PR, matching YangGangUEFI's historical assignment pattern for SetupBrowserDxe bugs.",False,YangGangUEFI,True
claude-haiku-4-5,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"QEMU-KVM guest boot failure on RISC-V matches yechao-w's assigned domain of RISC-V QEMU boot bugs, as distinguished from SEV/AMD bugs (jxu023) and OS-runtime timer crashes (zevorn).",False,yechao-w,True
claude-haiku-4-5,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,CLANGPDB linker error (_memcpy undefined symbol) in RedfishPkg matches mikebeaton's established pattern of handling CLANGPDB build/link errors specifically in RedfishPkg.,False,mikebeaton,True
claude-haiku-4-5,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,CLANGPDB linker error in RedfishPkg (_fltused undefined symbol) matches mikebeaton's established pattern of CLANGPDB build/link errors specifically in RedfishPkg.,False,mikebeaton,True
claude-haiku-4-5,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"This is a BaseTools bug about NASM nuget toolchain update (mu_nasm 2.16.01), which matches makubacki's assigned pattern of NASM/toolchain/nuget update bugs in BaseTools.",False,makubacki,True
claude-haiku-4-5,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"Bug is a regression (commit 901c4e3) affecting Arm platform firmware menu key response, which is mikebeaton's assigned domain per historical pattern for firmware-level regressions in Arm menus.",False,mikebeaton,True
claude-haiku-4-5,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,CryptoPkg build error with VS2022 compiler matches the established pattern of ardbiesheuvel handling VS2022-specific build failures in CryptoPkg.,False,ardbiesheuvel,True
claude-haiku-4-5,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"BaseRiscV64CpuTimerLib is a RISC-V timer library causing OS-runtime crashes, which matches zevorn's assigned domain of OS-runtime crash bugs in RISC-V timer libs.",False,zevorn,True
claude-haiku-4-5,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,ECC Check CI failure in BaseTools matches bexcran's historical assignment pattern for ECC Check / CI failure bugs in BaseTools.,False,bexcran,True
claude-haiku-4-5,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,ShellPkg SMBIOS MemoryDevice table addition for MRDIMM support matches NingFengGit's historical assignment pattern of MRDIMM / MemoryDevice table additions in ShellPkg SMBIOS.,False,NingFengGit,True
claude-haiku-4-5,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"Bug describes BSP/AP multiprocessor synchronisation issue with reset vector buffer management during AP wake-up in UefiCpuPkg, which matches philnoh2's assigned expertise area.",False,philnoh2,True
claude-haiku-4-5,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,3,needs-maintainer-feedback,mdkinney,high,CryptoPkg build error with CLANG compiler matches mdkinney's assigned pattern of CLANG compiler build error bugs in CryptoPkg.,False,mdkinney,True
claude-haiku-4-5,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,5,needs-maintainer-feedback,vit9696,high,"Bug involves UEFI runtime drivers not executable after EndOfDxe, which is a POLICY/access-control issue matching vit9696's domain, not a physical memory bug (os-d) or HII/UI bug (YangGangUEFI/EricGao2015).",False,vit9696,True
claude-haiku-4-5,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,11,needs-maintainer-feedback,yechao-w,medium,"TCG2/TPM2 support bug on RISC-V OvmfPkg is a platform-specific feature enablement issue on RISC-V, matching yechao-w's historical assignment of RISC-V QEMU guest-boot and platform support bugs in OvmfPkg.",False,Vogtinator,False
claude-haiku-4-5,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,1,needs-maintainer-feedback,HunterChang030,high,"Bug explicitly involves OpalPassword device list handling in SecurityPkg, which matches HunterChang030's unique assignment pattern for SecurityPkg / OpalPassword device list handling bugs.",False,HunterChang030,True
