model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-4o,B,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,zhurui22,medium,"The bug involves a keyboard issue in the UEFI shell, similar to a past bug assigned to zhurui22, and no other specific assignee matches better.",False,Damien-Chen,False
gpt-4o,B,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"The bug is related to MdeModulePkg/HiiDatabaseDxe and GetNameElement, which historically have been assigned to YangGangUEFI.",False,YangGangUEFI,True
gpt-4o,B,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"The bug is related to SetupBrowserDxe in MdeModulePkg, which historically has been assigned to YangGangUEFI.",False,YangGangUEFI,True
gpt-4o,B,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"The bug involves a QEMU-KVM guest boot failure on RISC-V, which matches yechao-w's assignment scope for RISC-V QEMU boot issues in OvmfPkg.",False,yechao-w,True
gpt-4o,B,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a CLANGPDB build error in the RedfishPkg, which matches the historical assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-4o,B,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a CLANGPDB build error in the RedfishPkg, which matches the historical assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-4o,B,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"The bug involves updating the NASM nuget release in BaseTools, which matches makubacki's historical assignment for NASM/toolchain/nuget update bugs in BaseTools.",False,makubacki,True
gpt-4o,B,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"The bug is about a regression in Arm platform firmware menus caused by a specific commit, which matches mikebeaton's assignment scope.",False,mikebeaton,True
gpt-4o,B,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,"The bug is a VS2022 build error in CryptoPkg, which matches ardbiesheuvel's assignment scope.",False,ardbiesheuvel,True
gpt-4o,B,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"The bug involves OS-runtime crash issues in the BaseRiscV64CpuTimerLib, which matches zevorn's assignment for OS-runtime crash bugs in RISC-V timer libraries.",False,zevorn,True
