model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-5.4-mini,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,mikebeaton,low,"This is an OvmfPkg issue about UEFI Shell keyboard handling in QEMU -nographic mode, and among the listed assignees mikebeaton is the best fit for Arm/platform firmware menu and related firmware-level input regressions even though this is not a perfect match.",False,Damien-Chen,False
gpt-5.4-mini,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"The bug is in MdeModulePkg/HiiDatabaseDxe and specifically GetNameElement(), which matches the historical assignment pattern for YangGangUEFI on HiiDatabaseDxe/GetNameElement parser issues.",False,YangGangUEFI,True
gpt-5.4-mini,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"The bug is in MdeModulePkg SetupBrowserDxe, which matches the historical SetupBrowserDxe assignment pattern for YangGangUEFI.",False,YangGangUEFI,True
gpt-5.4-mini,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"This is an OvmfPkg RISC-V QEMU guest-boot failure, which matches yechao-w’s assigned scope for RISC-V QEMU boot bugs.",False,yechao-w,True
gpt-5.4-mini,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB build/link error in RedfishPkg, which matches the specific RedfishPkg CLANGPDB assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-5.4-mini,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a RedfishPkg CLANGPDB build/link error, and historical pattern shows mikebeaton owns CLANGPDB bugs in RedfishPkg.",False,mikebeaton,True
gpt-5.4-mini,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"This is a BaseTools bug about a NASM/nuget release update, which matches makubacki’s assigned BaseTools toolchain/nuget update scope.",False,makubacki,True
gpt-5.4-mini,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"This is an Arm platform firmware menu key-response regression tied to a specific commit, which matches mikebeaton’s assigned scope rather than generic HII/UI bugs.",False,mikebeaton,True
gpt-5.4-mini,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,"This is a CryptoPkg build failure with VS2022, which matches the explicit CryptoPkg + VS2022 assignment pattern for ardbiesheuvel.",False,ardbiesheuvel,True
gpt-5.4-mini,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"This is an OvmfPkg RISC-V timer library runtime-crash issue, and historical patterns assign OS-runtime crashes in BaseRiscV64CpuTimerLib to zevorn.",False,zevorn,True
gpt-5.4-mini,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,"This is a BaseTools CI/ECC Check failure, which matches bexcran’s assignment for ECC Check / CI failure bugs in BaseTools.",False,bexcran,True
gpt-5.4-mini,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,"This is a ShellPkg SMBIOS enhancement for MRDIMM support, which matches the historical ShellPkg SMBIOS/MRDIMM assignment pattern for NingFengGit.",False,NingFengGit,True
gpt-5.4-mini,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"This is a UefiCpuPkg BSP/AP synchronization bug about the BSP freeing an AP reset vector while AP wake-up is in progress, which matches philnoh2’s multiprocessor synchronization assignment.",False,philnoh2,True
gpt-5.4-mini,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,3,needs-maintainer-feedback,mdkinney,high,"This is a CryptoPkg build error with the CLANG compiler, which matches the historical assignment pattern for mdkinney.",False,mdkinney,True
gpt-5.4-mini,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,5,needs-maintainer-feedback,vit9696,high,"This is an OvmfPkg policy bug about runtime drivers loaded after EndOfDxe not being executable, which matches vit9696’s assigned domain rather than os-d’s physical memory issues.",False,vit9696,True
gpt-5.4-mini,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,11,needs-maintainer-feedback,jxu023,medium,"This is an OvmfPkg RISC-V boot/support issue, and among the listed OvmfPkg RISC-V assignees jxu023 is the closest match for platform boot-related failures.",False,Vogtinator,False
gpt-5.4-mini,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,1,needs-maintainer-feedback,HunterChang030,high,"This is a SecurityPkg OpalPassword device-list handling bug, which exactly matches HunterChang030’s unique assignment scope.",False,HunterChang030,True
gpt-5.4-mini,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,4,nan,EricGao2015,high,"This is an MdeModulePkg HII/UI assertion about a default string ID, matching the historical assert/string-id bug pattern assigned to EricGao2015.",False,EricGao2015,True
gpt-5.4-mini,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,1,needs-triage,BritChesley,high,"This is a CodeQL/static-analysis bug in NetworkPkg, which matches BritChesley’s assigned NetworkPkg CodeQL issues exactly.",False,BritChesley,True
gpt-5.4-mini,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,bug,low,1,needs-triage,SaloniKasbekar,high,"This is a NetworkPkg hardcoded-value/define-constant bug, which matches SaloniKasbekar’s assigned NetworkPkg pattern exactly.",False,SaloniKasbekar,True
gpt-5.4-mini,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,bug,high,0,nan,wenbhou,high,"This is an MdeModulePkg variable store / FTW spare block recovery bug, which matches wenbhou’s assigned domain exactly.",False,wenbhou,True
gpt-5.4-mini,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,bug,low,2,needs-maintainer-feedback,lgao4,high,"This is a core DXE MdeModulePkg handle/protocol management bug involving InstallProtocolInterface(), which matches lgao4’s assigned low-level MdeModulePkg infrastructure scope.",False,lgao4,True
gpt-5.4-mini,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,bug,low,1,nan,AshrafAliS,low,"The issue is in package:other with no specific subsystem match, so the closest historical pattern is the prior generic BaseTools/FMMT miscellaneous bug assigned to AshrafAliS.",False,lgao4,False
gpt-5.4-mini,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,bug,low,14,needs-maintainer-feedback|needs-triage,os-d,high,"This is an OVMF/MdePkg physical memory management bug involving FreePages() and page faults on non-writable pages, which matches os-d's assigned scope for physical memory and page table/GCD issues.",False,os-d,True
gpt-5.4-mini,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,bug,low,7,needs-triage,EricGao2015,high,"This is a MdeModulePkg UI/forms issue involving Device Manager form behavior after a Driver Health repair, which matches EricGao2015’s assigned Device Manager forms bugs.",False,EricGao2015,True
gpt-5.4-mini,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,bug,high,5,needs-maintainer-feedback|needs-triage,jxu023,high,"This is an OvmfPkg AMD SEV/SEV-ES virtualisation boot bug, and the historical pattern assigns SEV/SEV-ES and AmdSvsm-related issues to jxu023.",False,jxu023,True
gpt-5.4-mini,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,bug,low,1,needs-triage,EricGao2015,high,"This is a MdeModulePkg UI/forms issue involving the Setup Hotkey Region, which matches EricGao2015’s assigned Setup Hotkey display bugs.",False,EricGao2015,True
