model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
gpt-5.5,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.86,"This is a plausible EDK II/OVMF console input bug report involving UEFI Shell behavior under QEMU -nographic mode, with enough context to investigate.",False,needs-maintainer-feedback
gpt-5.5,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.93,"The issue concerns EDK II coding style enforcement via Uncrustify configuration and a potential conflict with the project coding standard, which is a valid maintainable tooling bug report.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.5,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.88,"The issue concerns a plausible bug or robustness improvement in the EDK II UsbMassStorageDxe driver, an in-scope firmware component.",False,needs-maintainer-feedback|needs-triage
gpt-5.5,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.78,"The issue reports a parser problem in the EDK II MdeModulePkg HiiDatabaseDxe GetNameElement() component, which is a plausible firmware bug worth investigating.",False,
gpt-5.5,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.86,"The issue reports a code bug introduced by a specific EDK II pull request in the MdeModulePkg SetupBrowserDxe component, which is a legitimate firmware component issue worth triage.",False,needs-triage
gpt-5.5,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.95,"This is a legitimate EDK II ShellPkg build failure involving GCC 16 and -Werror, which falls under supported build/compiler infrastructure issues.",False,
gpt-5.5,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.78,"The issue reports a potential OVMF/QEMU-KVM guest startup failure on RISC-V, which is directly related to EDK II firmware behavior and virtualization support.",False,needs-maintainer-feedback
gpt-5.5,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.9,"This appears to be a legitimate MdePkg bug report about a mismatch in a UEFI-defined constant value, which is relevant to EDK II headers/spec compliance.",False,needs-maintainer-feedback
gpt-5.5,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.96,"This reports a concrete EmulatorPkg build failure due to a missing header in an EDK II package, which is a legitimate issue for the project to investigate.",False,needs-triage
gpt-5.5,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.98,"This is a reproducible EDK II package build failure involving RedfishPkg with the CLANGPDB toolchain, which is a valid project issue.",False,needs-maintainer-feedback|needs-triage
