model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
claude-sonnet-4-6,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.65,"This appears to be a genuine bug report about keyboard backspace not functioning correctly in UEFI shell under QEMU's -nographic mode, which relates to terminal/serial console input handling in OvmfPkg and could be a reproducible firmware issue worth investigating.",False,needs-maintainer-feedback
claude-sonnet-4-6,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.92,"This is a valid bug report about the EDK II coding style enforcement tool (Uncrustify) producing output that contradicts the official EDK II Coding Standard, which is directly relevant to EDK II build infrastructure and tooling.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-sonnet-4-6,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.75,"This appears to be a legitimate bug report identifying a missing retry mechanism in UsbMassStorageDxe for transient USB failures, which is a plausible firmware robustness issue in MdeModulePkg.",False,needs-maintainer-feedback|needs-triage
claude-sonnet-4-6,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.9,"This is a genuine bug report targeting a specific function (GetNameElement()) in a known EDK II package (MdeModulePkg/HiiDatabaseDxe), which is a legitimate and investigable issue.",False,
claude-sonnet-4-6,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.75,"This appears to be a genuine bug report referencing a specific pull request that introduced a code issue in SetupBrowserDxe, which is a legitimate EDK II component in MdeModulePkg.",False,needs-triage
claude-sonnet-4-6,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.95,This is a legitimate build failure bug report describing a real compilation issue with GCC 16 and -Werror flags affecting the ShellPkg build infrastructure.,False,
claude-sonnet-4-6,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.6,"This appears to be a genuine bug report about OvmfPkg failing to boot a RISC-V guest under QEMU/KVM, which is a legitimate EDK II firmware issue, though low engagement and missing reproduction details reduce confidence.",False,needs-maintainer-feedback
claude-sonnet-4-6,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.85,"This appears to be a genuine bug report about a value mismatch in a defined constant (LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX) in MdePkg, which is a legitimate EDK II package issue worth investigating.",False,needs-maintainer-feedback
claude-sonnet-4-6,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.85,"This is a genuine build failure bug report involving a missing header file (termio.h) in EmulatorPkg/Unix/Host, which is a real EDK II package build infrastructure issue worth investigating.",False,needs-triage
claude-sonnet-4-6,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.97,"This is a genuine build failure bug report for RedfishPkg with a specific error message, toolchain (CLANGPDB), architecture (IA32), and build target (NOOPT) that provides enough information to investigate and reproduce.",False,needs-maintainer-feedback|needs-triage
claude-sonnet-4-6,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.95,"This is a genuine build failure bug report for RedfishPkg when using the CLANGPDB toolchain, with a specific linker error that can be reproduced and investigated.",False,needs-maintainer-feedback|needs-triage
claude-sonnet-4-6,11878,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,standalonemmpkg,False,0.95,"This is a genuine build failure bug report involving a specific toolchain (CLANGDWARF), architecture (AARCH64), build target (RELEASE), and EDK II package (StandaloneMmPkg), which is actionable and investigable.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-sonnet-4-6,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.9,"This is a legitimate bug report requesting an update to a build tool dependency (mu_nasm nuget package) to fix IA32 CLANGDWARF link issues, which directly relates to EDK II build infrastructure.",False,needs-maintainer-feedback|needs-triage
claude-sonnet-4-6,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.9,"This is a genuine bug report identifying a specific commit (901c4e3) that breaks Enter key handling in Arm platform firmware menus, involving ArmVirtPkg and MdeModulePkg components with a reproducible regression.",False,needs-triage
claude-sonnet-4-6,11800,[Bug]: non-x86 Option Rom never be reached if multiple Option Rom images are found on non-x86 platform.,mdemodulepkg,False,0.92,This is a genuine bug report describing a specific code path issue in MdeModulePkg where non-x86 Option ROM images are skipped when multiple Option ROM images are present on non-x86 platforms.,False,needs-triage
claude-sonnet-4-6,11797,[Bug]: Build error when STATIC Stack check is enabled on X86 Architectures on GCC Build,mdepkg,False,0.95,"This is a genuine build failure bug report related to EDK II build infrastructure (GCC compiler with stack check enabled on X86 architectures), which is a legitimate and investigable issue for the project.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-sonnet-4-6,11793,[Bug]: BdsDxe build fails with CLANGPDB,mdemodulepkg,False,0.95,"This is a legitimate build failure bug report involving a specific EDK II package (MdeModulePkg/BdsDxe) and a specific toolchain (CLANGPDB), which is actionable and reproducible.",False,needs-maintainer-feedback|needs-triage
claude-sonnet-4-6,11792,[Bug]: UefiPayloadPkg cannot be built with VS2022,uefipayloadpkg,False,0.9,"This is a legitimate build failure bug report describing that UefiPayloadPkg cannot be compiled with VS2022, which is a valid EDK II build infrastructure issue worth investigating.",False,needs-maintainer-feedback|needs-owner|needs-triage
