model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-5.5,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,Damien-Chen,low,"The bug is in OvmfPkg and concerns QEMU -nographic console/keyboard behavior, which does not match the more specific OvmfPkg memory, RISC-V, SEV, NetworkPkg, or Arm menu regression patterns.",False,Damien-Chen,True
gpt-5.5,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"The bug is in MdeModulePkg HiiDatabaseDxe specifically GetNameElement(), which matches the historical YangGangUEFI assignment pattern.",False,YangGangUEFI,True
gpt-5.5,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"The bug is in MdeModulePkg specifically SetupBrowserDxe, which historical patterns assign to YangGangUEFI.",False,YangGangUEFI,True
gpt-5.5,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"The bug is an OvmfPkg RISC-V qemu-kvm guest boot/start failure, which directly matches the historical pattern for yechao-w.",False,yechao-w,True
gpt-5.5,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a CLANGPDB build/link failure specifically in RedfishPkg, which matches the historical RedfishPkg CLANGPDB assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-5.5,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a RedfishPkg CLANGPDB linker/build failure, which precisely matches the historical mikebeaton assignment pattern.",False,mikebeaton,True
gpt-5.5,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"The bug is in BaseTools and specifically concerns updating the mu_nasm NuGet/toolchain package, which matches makubacki's historical NASM/toolchain/nuget update scope.",False,makubacki,True
gpt-5.5,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"This is a commit-specific regression breaking Enter key response in Arm platform firmware menus, which matches mikebeaton's historical assignment pattern.",False,mikebeaton,True
gpt-5.5,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,"The bug is specifically a CryptoPkg build failure with VS2022, which matches the historical CryptoPkg VS2022 build-error pattern assigned to ardbiesheuvel.",False,ardbiesheuvel,True
gpt-5.5,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"The bug is in OvmfPkg and specifically concerns an OS-runtime crash in the RISC-V BaseRiscV64CpuTimerLib, which matches zevorn's historical assignment pattern.",False,zevorn,True
gpt-5.5,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,"The bug is in BaseTools and specifically concerns ECC Check failures in edk2 CI, which matches the historical BaseTools ECC/CI assignment pattern for bexcran.",False,bexcran,True
gpt-5.5,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,"The bug is in ShellPkg SMBIOS/SmbioView and specifically requests MRDIMM support in the MemoryDevice memory technology table, which matches the historical NingFengGit MRDIMM/MemoryDevice table pattern.",False,NingFengGit,True
gpt-5.5,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"The bug is in UefiCpuPkg and concerns BSP/AP wake-up/reset-vector synchronization, which directly matches the historical philnoh2 assignment pattern for UefiCpuPkg BSP/AP multiprocessor synchronization bugs.",False,philnoh2,True
gpt-5.5,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,3,needs-maintainer-feedback,mdkinney,high,"The bug is a CryptoPkg build error specifically with the CLANG compiler, which matches the historical pattern for mdkinney.",False,mdkinney,True
gpt-5.5,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,5,needs-maintainer-feedback,vit9696,high,"This is an OvmfPkg/MdeModulePkg policy issue about runtime drivers loaded after EndOfDxe not being executable by the OS, which matches vit9696’s historical EndOfDxe driver-executability scope.",False,vit9696,True
gpt-5.5,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,11,needs-maintainer-feedback,Vogtinator,low,"The issue is an OvmfPkg RISC-V platform TCG2/TPM2 support bug, which does not match the known RISC-V boot, timer, SEV, or memory-management assignment patterns, making Vogtinator the best available fit among the remaining assignees.",False,Vogtinator,True
gpt-5.5,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,1,needs-maintainer-feedback,HunterChang030,high,"The bug is in SecurityPkg and specifically concerns OpalPassword DeviceList handling, which directly matches the historical unique assignment pattern for HunterChang030.",False,HunterChang030,True
