model,system,issue_id,title,package,predicted_priority,true_priority,confidence,reason
claude-sonnet-4-6,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,low,low,0.8,"This is a UI/input bug in a specific non-default QEMU configuration (-nographic mode) that affects only the backspace key in UEFI shell, analogous to other low-priority display/UI bugs like the 'An unexpected black box appears at Setup Hotkey Region' example."
claude-sonnet-4-6,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,low,medium,0.6,"Parser issues in HiiDatabaseDxe are typically code quality or correctness bugs similar to other MdeModulePkg low-priority issues like the 'Assert if default string id is 0' example, without evidence of crashes, data corruption, or security impact."
claude-sonnet-4-6,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,low,low,0.5,"A 'code issue' in SetupBrowserDxe (MdeModulePkg) without details about crashes or data corruption is most similar to cosmetic/code quality bugs in the same package labeled low, such as assert issues or UI glitches."
claude-sonnet-4-6,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,medium,medium,0.5,"A RISC-V boot failure on QEMU/KVM is a functional bug similar to 'TCG2/TPM2 support on RISC-V does not work' (medium), affecting a specific platform/architecture combination rather than all users."
claude-sonnet-4-6,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,medium,medium,0.95,This is nearly identical to the labeled example 'RedfishPkg fails to build with lld-link: error: undefined symbol: _fltused in CLANGPDB (DEBUG RELEASE)' which was classified as medium — a build failure limited to a specific compiler (CLANGPDB) and configuration (IA32 NOOPT).
claude-sonnet-4-6,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,medium,medium,0.95,This is nearly identical to the labeled example 'RedfishPkg fails to build with lld-link: error: undefined symbol: _memcpy in CLANGPDB (IA32 NOOPT)' which was classified as medium — a build failure limited to a specific toolchain (CLANGPDB) rather than blocking all configurations.
claude-sonnet-4-6,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,medium,high,0.72,"A build failure limited to a specific toolchain (IA32 CLANGDWARF) is medium severity, similar to the RedfishPkg CLANGPDB build failures labeled medium."
claude-sonnet-4-6,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,medium,high,0.7,"A regression that breaks Enter key response in Arm platform firmware menus is a functional bug affecting user interaction with firmware UI, but UI/input bugs on specific platforms (ArmVirtPkg) with potential workarounds are typically medium priority, similar to the keyboard backspace issue being low but this affects menu navigation more broadly."
claude-sonnet-4-6,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,high,medium,0.75,"A build failure in CryptoPkg with VS2022 blocks all users of that compiler, similar to the prior 'Encountering a build error with the CLANG compiler' in CryptoPkg which was labeled high."
claude-sonnet-4-6,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,medium,high,0.7,"This is a functional bug causing crashes in a specific runtime driver (RealTimeClockRuntimeDxe) on RISC-V, similar in severity to 'TCG2/TPM2 support on RISC-V does not work' which was labeled medium, with a workaround possible by avoiding the affected code path."
claude-sonnet-4-6,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,medium,low,0.6,"A silently failing ECC check in CI means code quality checks are not enforced, which is a functional CI/tooling bug with workarounds (manual checks), similar in severity to other build/tooling issues labeled medium."
claude-sonnet-4-6,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,medium,medium,0.75,"Similar to the ARMV9 support addition in ShellPkg for SmbioView which was labeled medium, this is a missing feature addition for spec compliance (SMBIOS v3.8) in a published and widely adopted specification."
claude-sonnet-4-6,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,high,medium,0.75,"A race condition where the BSP frees the AP reset vector buffer while APs are still in the process of waking up can cause crashes or memory corruption during multi-processor initialization, which is a critical firmware stability issue with no simple workaround."
claude-sonnet-4-6,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,medium,high,0.75,Similar to 'CryptoPkg cannot be built with VS2022' which was labeled medium — a build failure in CryptoPkg limited to a specific compiler (CLANG) rather than blocking all configurations.
