model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-4o,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,AndreasBBS,medium,"The bug involves QEMU and OvmfPkg, which matches the pattern for AndreasBBS handling combined QEMU_EFI and NetworkPkg issues, although this is a low-priority bug and not directly related to NetworkPkg.",False,Damien-Chen,False
gpt-4o,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"The bug is related to MdeModulePkg/HiiDatabaseDxe and GetNameElement, which historically have been assigned to YangGangUEFI.",False,YangGangUEFI,True
gpt-4o,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"The bug is related to SetupBrowserDxe in MdeModulePkg, which historically has been assigned to YangGangUEFI.",False,YangGangUEFI,True
gpt-4o,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"The bug involves a QEMU-KVM guest boot failure on RISC-V, which matches yechao-w's assignment scope for RISC-V QEMU boot issues.",False,yechao-w,True
gpt-4o,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a CLANGPDB build/link error specifically in the RedfishPkg, which matches the historical assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-4o,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a CLANGPDB build error specifically in the RedfishPkg, which matches the historical assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-4o,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"The bug involves updating the NASM nuget release in BaseTools, which matches makubacki's historical assignment for NASM/toolchain/nuget update bugs in BaseTools.",False,makubacki,True
gpt-4o,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"The bug involves a regression in Arm platform firmware menus caused by a specific commit, which matches the historical pattern for mikebeaton.",False,mikebeaton,True
gpt-4o,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,"The bug is a VS2022 build error in CryptoPkg, which matches ardbiesheuvel's assignment scope.",False,ardbiesheuvel,True
gpt-4o,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"The bug involves OS-runtime crashes in BaseRiscV64CpuTimerLib, which matches zevorn's assignment for OS-runtime crash bugs in RISC-V timer libraries.",False,zevorn,True
gpt-4o,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,"The bug is related to ECC Check failures in BaseTools CI, which matches the historical assignment pattern for bexcran.",False,bexcran,True
gpt-4o,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,"The bug involves adding MRDIMM support in the MemoryDeviceMemoryTechnologyTable within ShellPkg, which matches NingFengGit's historical assignment pattern for MRDIMM / MemoryDevice table additions in ShellPkg SMBIOS.",False,NingFengGit,True
gpt-4o,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"The bug is related to UefiCpuPkg BSP/AP multiprocessor synchronisation, which matches the unique bug type assigned to philnoh2.",False,philnoh2,True
gpt-4o,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,3,needs-maintainer-feedback,mdkinney,high,"The bug is a CLANG compiler build error in the CryptoPkg, which matches the historical assignment pattern for mdkinney.",False,mdkinney,True
gpt-4o,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,5,needs-maintainer-feedback,vit9696,high,"The bug involves UEFI runtime drivers not being executable after EndOfDxe, which matches vit9696's expertise in POLICY bugs related to driver executability after EndOfDxe.",False,vit9696,True
gpt-4o,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,11,needs-maintainer-feedback,yechao-w,medium,"The bug involves RISC-V support in OvmfPkg, which aligns with yechao-w's expertise in handling QEMU-KVM guest-boot failure bugs on RISC-V.",False,Vogtinator,False
gpt-4o,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,1,needs-maintainer-feedback,HunterChang030,high,"The bug is related to OpalPassword device list handling in SecurityPkg, which matches the unique bug type assigned to HunterChang030.",False,HunterChang030,True
gpt-4o,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,4,nan,EricGao2015,high,"The bug is related to an assert/string-id issue in MdeModulePkg, which matches the historical assignment pattern for EricGao2015.",False,EricGao2015,True
gpt-4o,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,1,needs-triage,BritChesley,high,"The bug is a CodeQL error in NetworkPkg, which matches the historical assignment pattern for BritChesley.",False,BritChesley,True
gpt-4o,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,bug,low,1,needs-triage,SaloniKasbekar,high,"The bug involves replacing a hardcoded value with a #define constant in NetworkPkg, which matches SaloniKasbekar's historical assignment pattern for similar issues.",False,SaloniKasbekar,True
gpt-4o,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,bug,high,0,nan,wenbhou,high,"The bug is related to variable store and FTW spare block recovery, which matches wenbhou's historical assignment pattern for MdeModulePkg.",False,wenbhou,True
gpt-4o,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,bug,low,2,needs-maintainer-feedback,lgao4,high,"The bug is related to InstallProtocolInterface, which is a core DXE infrastructure issue in MdeModulePkg, historically assigned to lgao4.",False,lgao4,True
gpt-4o,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,bug,low,1,nan,AshrafAliS,low,"The bug is labeled as 'package:other' and does not match any specific historical pattern, so it is assigned to AshrafAliS who has handled a similar unspecified package issue before.",False,lgao4,False
gpt-4o,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,bug,low,14,needs-maintainer-feedback|needs-triage,os-d,high,"The bug involves a memory issue related to FreePages() in the OVMF build, which falls under the domain of physical memory management handled by os-d.",False,os-d,True
gpt-4o,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,bug,low,7,needs-triage,EricGao2015,high,"The bug involves a Device Manager form issue in MdeModulePkg, which aligns with EricGao2015's historical assignments for Device Manager forms.",False,EricGao2015,True
gpt-4o,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,bug,high,5,needs-maintainer-feedback|needs-triage,jxu023,high,"The bug involves SEV and SEV-ES VM boot issues in OvmfPkg, which matches the historical pattern for jxu023 who handles AMD SEV/SEV-ES virtualization boot bugs.",False,jxu023,True
gpt-4o,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,bug,low,1,needs-triage,EricGao2015,high,"The bug is related to the Setup Hotkey Region in MdeModulePkg, which matches the historical assignment pattern for EricGao2015, who handles Setup Hotkey display issues.",False,EricGao2015,True
gpt-4o,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,bug,medium,4,needs-maintainer-feedback,Damien-Chen,medium,"The bug is related to OvmfPkg build issues, and Damien-Chen has been previously assigned to a similar OvmfPkg build-related bug.",False,r1chard-lyu,False
gpt-4o,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,bug,medium,0,needs-triage,os-d,high,"The bug is related to an MdePkg LNK2001 unresolved symbol error, which is specifically handled by os-d.",False,os-d,True
gpt-4o,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,bug,medium,0,needs-triage,praravin,high,"The bug is related to IntelFsp2Pkg and specifically mentions FSP-T TemporaryRamSize configuration, which matches praravin's unique assignment scope.",False,praravin,True
gpt-4o,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,bug,high,23,needs-triage,os-d,high,"The bug involves a memory protection feature causing inconsistency between GCD data structures and CPU page tables, which falls under os-d's expertise in physical memory bugs.",False,os-d,True
gpt-4o,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,bug,medium,4,needs-maintainer-feedback,praveensankarn,high,"The bug is related to adding ARMV9 support in SmbioView within ShellPkg, which matches the historical assignment pattern for praveensankarn.",False,praveensankarn,True
gpt-4o,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,bug,low,0,nan,liyi77,high,"The bug involves updating OpenSSL for a CVE in CryptoPkg, which matches liyi77's historical assignment pattern for OpenSSL version updates and CVE patches in CryptoPkg.",False,liyi77,True
gpt-4o,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,bug,low,14,needs-triage,AndreasBBS,high,"The bug involves both NetworkPkg and QEMU_EFI, which matches the assignment pattern for AndreasBBS handling combined driver-loading bugs in these contexts.",False,AndreasBBS,True
gpt-4o,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,bug,low,1,nan,deeglaze,high,"The bug is a CLANGPDB linker warning outside of RedfishPkg, which matches deeglaze's assignment for such issues.",False,deeglaze,True
gpt-4o,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,bug,low,0,nan,EricGao2015,medium,"The bug involves a DXE_ASSERT in the UEFI Shell, which aligns with EricGao2015's historical assignment to assert/string-id bugs in MdeModulePkg, and ShellPkg is closely related to MdeModulePkg in terms of UEFI Shell functionality.",False,zhurui22,False
