model,system,issue_id,title,package,is_invalid,confidence,reason,true_invalid
claude-sonnet-4-6,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.85,"This is a legitimate bug report about keyboard input handling (Backspace key) in the UEFI shell under OVMF when running QEMU with -nographic mode, which relates to EDK II's OvmfPkg terminal/console driver behavior.",False
claude-sonnet-4-6,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.97,This is a genuine bug report about a parser issue in a specific EDK II package component (MdeModulePkg/HiiDatabaseDxe).,False
claude-sonnet-4-6,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.95,This is a valid bug report referencing a specific EDK II pull request that allegedly introduced a code issue in the SetupBrowserDxe component of MdeModulePkg.,False
claude-sonnet-4-6,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.85,"This is a legitimate bug report about QEMU KVM guest startup failure on RISC-V using OvmfPkg, which is a valid EDK II firmware component issue.",False
claude-sonnet-4-6,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.97,"This is a genuine build failure bug report for RedfishPkg with a specific error message, toolchain (CLANGPDB), architecture (IA32), and build target (NOOPT) that can be investigated and reproduced.",False
claude-sonnet-4-6,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.98,"This is a genuine build failure bug report describing a specific linker error with CLANGPDB toolchain in RedfishPkg, which is a valid EDK II build infrastructure issue.",False
claude-sonnet-4-6,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.95,"This is a legitimate bug report about a build toolchain dependency (nasm nuget package version) causing IA32 CLANGDWARF link failures, which directly relates to EDK II build infrastructure.",False
claude-sonnet-4-6,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.97,"This is a genuine bug report referencing a specific commit that breaks Enter key handling in ARM platform firmware menus, which is a valid EDK II regression report involving ArmVirtPkg and MdeModulePkg.",False
claude-sonnet-4-6,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,0.97,"This is a legitimate build failure bug report for CryptoPkg with a specific compiler (VS2022), which is a valid EDK II build infrastructure issue.",False
claude-sonnet-4-6,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,False,0.97,"This is a genuine bug report describing a specific crash in RealTimeClockRuntimeDxe caused by BaseRiscV64CpuTimerLib being unsafe for OS-runtime use, which is a real and investigable EDK II firmware issue.",False
