model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
claude-opus-4-7,B,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,mikebeaton,low,QEMU/OVMF -nographic keyboard input regression resembles Arm platform firmware key-response bugs handled by mikebeaton.,False,Damien-Chen,False
claude-opus-4-7,B,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,HiiDatabaseDxe GetNameElement parser bug matches YangGangUEFI's historical assignments.,False,YangGangUEFI,True
claude-opus-4-7,B,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,SetupBrowserDxe bugs in MdeModulePkg match YangGangUEFI's historical assignment pattern.,False,YangGangUEFI,True
claude-opus-4-7,B,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,QEMU-KVM guest boot failure on RISC-V matches yechao-w's historical pattern exactly.,False,yechao-w,True
claude-opus-4-7,B,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,CLANGPDB build error in RedfishPkg matches mikebeaton's exact assignment scope.,False,mikebeaton,True
claude-opus-4-7,B,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,CLANGPDB build error in RedfishPkg matches mikebeaton's exact scope.,False,mikebeaton,True
claude-opus-4-7,B,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,BaseTools nuget mu_nasm update bug matches makubacki's pattern of NASM/toolchain/nuget update bugs in BaseTools.,False,makubacki,True
claude-opus-4-7,B,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,Regression bug referencing a specific commit hash (901c4e3) breaking key response in Arm platform firmware menus matches mikebeaton's pattern.,False,mikebeaton,True
claude-opus-4-7,B,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,CryptoPkg VS2022 build error matches the documented ardbiesheuvel pattern.,False,ardbiesheuvel,True
claude-opus-4-7,B,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,OS-runtime crash in BaseRiscV64CpuTimerLib matches zevorn's pattern.,False,zevorn,True
