model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
claude-opus-4-7,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,r1chard-lyu,low,OvmfPkg QEMU-related bug not matching specific RISC-V/SEV/network patterns; r1chard-lyu has handled general OvmfPkg QEMU build/boot issues.,False,Damien-Chen,False
claude-opus-4-7,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,HiiDatabaseDxe GetNameElement parser bug matches YangGangUEFI's historical assignment pattern.,False,YangGangUEFI,True
claude-opus-4-7,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,SetupBrowserDxe bug in MdeModulePkg matches YangGangUEFI's historical assignment pattern.,False,YangGangUEFI,True
claude-opus-4-7,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,QEMU-KVM guest boot failure on RISC-V matches yechao-w's historical pattern.,False,yechao-w,True
claude-opus-4-7,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,CLANGPDB build error in RedfishPkg matches mikebeaton's exact assignment pattern.,False,mikebeaton,True
claude-opus-4-7,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,CLANGPDB build/link error in RedfishPkg matches mikebeaton's exact assignment scope.,False,mikebeaton,True
claude-opus-4-7,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,BaseTools nuget mu_nasm update matches makubacki's pattern of NASM/toolchain/nuget update bugs in BaseTools.,False,makubacki,True
claude-opus-4-7,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,Regression bug referencing a specific commit hash (901c4e3) breaking key response in Arm platform firmware menus matches mikebeaton's pattern.,False,mikebeaton,True
claude-opus-4-7,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,CryptoPkg VS2022 build error matches ardbiesheuvel's historical pattern.,False,ardbiesheuvel,True
claude-opus-4-7,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,OS-runtime crash bug in RISC-V timer library BaseRiscV64CpuTimerLib matches zevorn's exact pattern.,False,zevorn,True
claude-opus-4-7,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,ECC Check / CI failure bug in BaseTools matches bexcran's historical pattern.,False,bexcran,True
claude-opus-4-7,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,MRDIMM / MemoryDevice table addition in ShellPkg SMBIOS matches NingFengGit's pattern.,False,NingFengGit,True
claude-opus-4-7,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,UefiCpuPkg BSP/AP multiprocessor synchronisation bug matches philnoh2's known domain.,False,philnoh2,True
claude-opus-4-7,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,3,needs-maintainer-feedback,mdkinney,high,CLANG compiler build error in CryptoPkg matches mdkinney's historical pattern.,False,mdkinney,True
claude-opus-4-7,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,5,needs-maintainer-feedback,vit9696,high,Bug about runtime drivers not executable after EndOfDxe matches vit9696's policy/runtime driver permission domain.,False,vit9696,True
claude-opus-4-7,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,11,needs-maintainer-feedback,yechao-w,medium,RISC-V specific OvmfPkg bug (TPM2 support not working on RISC-V) aligns with yechao-w's RISC-V QEMU/OVMF boot support work.,False,Vogtinator,False
claude-opus-4-7,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,1,needs-maintainer-feedback,HunterChang030,high,SecurityPkg OpalPassword DeviceList handling bug matches HunterChang030's unique assignment pattern.,False,HunterChang030,True
claude-opus-4-7,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,4,nan,EricGao2015,high,MdeModulePkg assert/string-id bug matches EricGao2015's historical pattern.,False,EricGao2015,True
claude-opus-4-7,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,1,needs-triage,BritChesley,high,CodeQL static-analysis bug in NetworkPkg matches BritChesley's assignment pattern.,False,BritChesley,True
claude-opus-4-7,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,bug,low,1,needs-triage,SaloniKasbekar,high,NetworkPkg bug about replacing hardcoded values with #define constants matches SaloniKasbekar's pattern.,False,SaloniKasbekar,True
claude-opus-4-7,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,bug,high,0,nan,wenbhou,high,Variable store / FTW spare block recovery bug matches wenbhou's documented domain.,False,wenbhou,True
