model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-5.5,B,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,Vogtinator,low,"The bug is an OvmfPkg QEMU -nographic serial-console keyboard/backspace issue, which does not match the listed memory, NetworkPkg, RISC-V, SEV, or UI-form patterns, making Vogtinator the closest OVMF console-related match.",False,Damien-Chen,False
gpt-5.5,B,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"The bug is in MdeModulePkg HiiDatabaseDxe specifically involving GetNameElement(), which historically maps directly to YangGangUEFI.",False,YangGangUEFI,True
gpt-5.5,B,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"The bug is in MdeModulePkg specifically SetupBrowserDxe, which matches the historical pattern assigning SetupBrowserDxe issues to YangGangUEFI.",False,YangGangUEFI,True
gpt-5.5,B,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"The bug is in OvmfPkg and specifically describes a qemu-kvm guest boot/start failure on RISC-V, which matches the historical yechao-w assignment pattern exactly.",False,yechao-w,True
gpt-5.5,B,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a CLANGPDB build/link failure specifically in RedfishPkg, which matches the historical RedfishPkg CLANGPDB assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-5.5,B,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a RedfishPkg CLANGPDB build/link failure, which precisely matches the historical pattern assigned to mikebeaton.",False,mikebeaton,True
gpt-5.5,B,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"The bug is in BaseTools and specifically concerns updating the mu_nasm NuGet/toolchain dependency to fix link issues, matching the NASM/toolchain/nuget update pattern assigned to makubacki.",False,makubacki,True
gpt-5.5,B,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"This is a commit-specific regression breaking Enter key response in Arm platform firmware menus, which matches mikebeaton’s historical assignment pattern rather than general MdeModulePkg HII/UI ownership.",False,mikebeaton,True
gpt-5.5,B,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,"The bug is specifically a CryptoPkg build failure with VS2022, which matches the historical pattern assigned to ardbiesheuvel.",False,ardbiesheuvel,True
gpt-5.5,B,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"The bug is in OvmfPkg and specifically concerns an OS-runtime crash in the RISC-V BaseRiscV64CpuTimerLib, which matches zevorn's historical assignment pattern.",False,zevorn,True
