model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-4.1-mini,B,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,yechao-w,high,"The bug involves UEFI shell behavior in QEMU with -nographic mode on OvmfPkg, matching yechao-w's assignment for QEMU-KVM guest boot issues on RISC-V.",False,Damien-Chen,False
gpt-4.1-mini,B,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"The bug is in MdeModulePkg/HiiDatabaseDxe GetNameElement parser, which matches YangGangUEFI's historical assignment for HiiDatabaseDxe and GetNameElement bugs.",False,YangGangUEFI,True
gpt-4.1-mini,B,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,EricGao2015,high,"The bug is in SetupBrowserDxe, and EricGao2015 has historically been assigned SetupBrowser-related UI form bugs in MdeModulePkg.",False,YangGangUEFI,False
gpt-4.1-mini,B,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"The bug involves qemu-kvm guest start failure on RISC-V, which matches yechao-w's assignment for QEMU-KVM guest-boot failure bugs on RISC-V in OvmfPkg.",False,yechao-w,True
gpt-4.1-mini,B,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a CLANGPDB linker error in RedfishPkg, which historically is assigned to mikebeaton.",False,mikebeaton,True
gpt-4.1-mini,B,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a CLANGPDB linker error in RedfishPkg, which historically is assigned to mikebeaton.",False,mikebeaton,True
gpt-4.1-mini,B,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"The bug is a BaseTools package issue related to NASM/toolchain/nuget update, which matches makubacki's historical assignment domain precisely.",False,makubacki,True
gpt-4.1-mini,B,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"The bug involves a regression breaking Enter key response in Arm platform firmware menus, which historically is assigned to mikebeaton.",False,mikebeaton,True
gpt-4.1-mini,B,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,"The bug is a VS2022 build error in CryptoPkg, which historically is assigned to ardbiesheuvel.",False,ardbiesheuvel,True
gpt-4.1-mini,B,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"The bug involves BaseRiscV64CpuTimerLib OS-runtime crash in OvmfPkg, which matches zevorn's assignment for OS-runtime crash bugs in RISC-V timer libs.",False,zevorn,True
gpt-4.1-mini,B,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,"The bug is about ECC Check failures in BaseTools CI, which matches bexcran's historical assignment for ECC Check / CI failure bugs in BaseTools.",False,bexcran,True
gpt-4.1-mini,B,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,"The bug is about adding MRDIMM support in ShellPkg SMBIOS, which matches NingFengGit's historical assignment for MRDIMM/MemoryDevice table additions in ShellPkg SMBIOS.",False,NingFengGit,True
gpt-4.1-mini,B,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"The bug involves BSP/AP multiprocessor synchronization in UefiCpuPkg, which matches philnoh2's unique assignment domain.",False,philnoh2,True
