model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
claude-haiku-4-5,B,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,mikebeaton,medium,"This is an OvmfPkg keyboard input regression in QEMU (-nographic mode) affecting shell interaction, matching mikebeaton's pattern of Arm/firmware-level input/menu key-response bugs rather than core HII/UI issues.",False,Damien-Chen,False
claude-haiku-4-5,B,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,GetNameElement() parser bug in HiiDatabaseDxe is explicitly listed as a YangGangUEFI assignment pattern in the historical data.,False,YangGangUEFI,True
claude-haiku-4-5,B,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"SetupBrowserDxe is a core HII component with historical assignment to YangGangUEFI, and the regression from a specific PR indicates a code logic issue within the SetupBrowser module itself.",False,YangGangUEFI,True
claude-haiku-4-5,B,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"Bug is about QEMU-KVM guest boot failure on RISC-V, which directly matches yechao-w's assigned domain of RISC-V QEMU boot issues.",False,yechao-w,True
claude-haiku-4-5,B,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,CLANGPDB linker error in RedfishPkg matches the exact historical pattern where mikebeaton is assigned RedfishPkg CLANGPDB build/link errors (similar to the _fltused undefined symbol case).,False,mikebeaton,True
claude-haiku-4-5,B,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,CLANGPDB linker error (_fltused undefined symbol) in RedfishPkg matches the exact historical pattern of mikebeaton's assigned scope (CLANGPDB build/link errors in RedfishPkg only).,False,mikebeaton,True
claude-haiku-4-5,B,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"This is a BaseTools NASM/nuget toolchain update bug (mu_nasm version bump to resolve CLANGDWARF link issues), which matches makubacki's assigned domain of NASM/toolchain/nuget update bugs in BaseTools.",False,makubacki,True
claude-haiku-4-5,B,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"Bug is a regression in Arm platform firmware menu key response caused by a specific commit (901c4e3), matching the exact pattern of mikebeaton's assigned regression bugs in ArmVirtPkg firmware menus.",False,mikebeaton,True
claude-haiku-4-5,B,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,CryptoPkg build error with VS2022 compiler matches the established pattern for ardbiesheuvel's assignment scope (VS2022 build errors in CryptoPkg).,False,ardbiesheuvel,True
claude-haiku-4-5,B,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"Bug is about BaseRiscV64CpuTimerLib causing OS-runtime crashes in RISC-V, which matches zevorn's assigned domain of OS-runtime crash bugs in RISC-V timer libs.",False,zevorn,True
