model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-4o-mini,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,yechao-w,medium,"The bug involves keyboard functionality in UEFI shell when using QEMU, which aligns with yechao-w's focus on QEMU-KVM guest issues.",False,Damien-Chen,False
gpt-4o-mini,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"The bug pertains to HiiDatabaseDxe and specifically mentions GetNameElement(), which aligns with YangGangUEFI's historical assignments.",False,YangGangUEFI,True
gpt-4o-mini,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"The bug is related to SetupBrowserDxe, which matches the historical assignment pattern for YangGangUEFI.",False,YangGangUEFI,True
gpt-4o-mini,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"The bug relates to a qemu-kvm guest start failure on RISC-V, which matches the historical assignment pattern for yechao-w.",False,yechao-w,True
gpt-4o-mini,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is related to RedfishPkg and involves a CLANGPDB build error, which matches the historical assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-4o-mini,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is related to a build issue in RedfishPkg, which matches the historical assignment pattern for CLANGPDB build errors specifically assigned to mikebeaton.",False,mikebeaton,True
gpt-4o-mini,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"The bug pertains to updating a toolchain component (mu_nasm) in BaseTools, which aligns with makubacki's assignment for toolchain-related issues.",False,makubacki,True
gpt-4o-mini,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"The bug relates to a regression in Arm platform firmware menus, which matches the historical pattern of bugs assigned to mikebeaton.",False,mikebeaton,True
gpt-4o-mini,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,"The bug pertains to a build error in CryptoPkg specifically related to VS2022, which matches the historical assignment pattern for ardbiesheuvel.",False,ardbiesheuvel,True
gpt-4o-mini,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"The bug pertains to OS-runtime crashes in RISC-V timer libraries, which aligns with zevorn's historical assignment of OS-runtime crash bugs in RISC-V timer libs.",False,zevorn,True
