model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
gpt-5.5,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.72,The report concerns an OvmfPkg/UEFI Shell input behavior under QEMU -nographic and provides a plausible firmware-related bug scenario that can be investigated.,False,needs-maintainer-feedback
gpt-5.5,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.88,"The issue reports a potential bug in EDK II coding style enforcement tooling where Uncrustify formatting conflicts with the project coding standard, which is relevant and investigable.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.5,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.82,The issue concerns an EDK II USB mass storage driver and reports a plausible robustness bug/feature request that maintainers can investigate in the code.,False,needs-maintainer-feedback|needs-triage
gpt-5.5,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.82,"The issue reports a parser bug in the EDK II MdeModulePkg HiiDatabaseDxe GetNameElement() function, which is a relevant firmware component and plausible bug report.",False,
gpt-5.5,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.65,"The issue appears to report a code regression in the EDK II SetupBrowserDxe component and references a specific pull request, making it potentially investigable despite sparse details.",False,needs-triage
gpt-5.5,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.9,"This is a legitimate EDK II build failure report involving ShellPkg and GCC 16 with -Werror, which is within scope for the project tracker.",False,
gpt-5.5,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.7,"The issue appears to report a genuine OvmfPkg/RISC-V firmware boot failure under qemu-kvm, which is relevant to EDK II and potentially investigable.",False,needs-maintainer-feedback
gpt-5.5,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.78,"The issue concerns a specific MdePkg constant value mismatch, which is a concrete firmware header/spec conformance bug that maintainers can investigate.",False,needs-maintainer-feedback
gpt-5.5,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.93,This is a genuine EDK II EmulatorPkg build failure involving a missing system header and is actionable for investigation.,False,needs-triage
gpt-5.5,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.95,This is a genuine EDK II package build failure involving RedfishPkg and the CLANGPDB toolchain with enough detail to investigate.,False,needs-maintainer-feedback|needs-triage
gpt-5.5,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.93,"This is a concrete EDK II package build failure involving RedfishPkg and the CLANGPDB/lld-link toolchain with a specific undefined symbol error, which is valid to investigate.",False,needs-maintainer-feedback|needs-triage
gpt-5.5,11878,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,standalonemmpkg,False,0.94,"This reports a specific EDK II build failure involving CLANGDWARF, AARCH64, and StandaloneMmPkg, which is a legitimate issue for investigation.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.5,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.92,"This relates to EDK II BaseTools/build infrastructure and requests a tool dependency update to fix IA32 CLANGDWARF link issues, making it a legitimate bug/maintenance issue.",False,needs-maintainer-feedback|needs-triage
gpt-5.5,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.82,"The issue reports a plausible regression in EDK II Arm platform firmware menu input behavior tied to a specific commit and relevant packages, so it is a valid bug report to investigate.",False,needs-triage
gpt-5.5,11800,[Bug]: non-x86 Option Rom never be reached if multiple Option Rom images are found on non-x86 platform.,mdemodulepkg,False,0.86,"This reports a plausible EDK II MdeModulePkg firmware bug involving Option ROM image selection on non-x86 platforms, which is within scope and investigable.",False,needs-triage
gpt-5.5,11797,[Bug]: Build error when STATIC Stack check is enabled on X86 Architectures on GCC Build,mdepkg,False,0.9,"This reports an EDK II build failure involving GCC, X86 architectures, and static stack checking, which is within scope and suitable for investigation.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.5,11793,[Bug]: BdsDxe build fails with CLANGPDB,mdemodulepkg,False,0.78,"This reports an EDK II package build failure with the CLANGPDB toolchain, which is a legitimate issue related to EDK II build infrastructure.",False,needs-maintainer-feedback|needs-triage
gpt-5.5,11792,[Bug]: UefiPayloadPkg cannot be built with VS2022,uefipayloadpkg,False,0.82,"This is a plausible EDK II build failure involving UefiPayloadPkg and the VS2022 toolchain, which is within scope for investigation.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.5,11791,[Bug]: SignedCapsulePkg cannot be built with VS2022,signedcapsulepkg,False,0.9,"It reports a build failure for an EDK II package with a supported compiler/toolchain, which is a legitimate issue to investigate.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.5,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,0.82,"This reports a build failure in an EDK II package with the VS2022 toolchain, which is within scope and potentially reproducible/investigable.",False,needs-maintainer-feedback
gpt-5.5,11787,[Bug]: HiiDatabaseDxe build fails with CLANGPDB,mdemodulepkg,False,0.85,"This reports a build failure in an EDK II package with the CLANGPDB toolchain, which is within scope and potentially reproducible/investigable.",False,needs-maintainer-feedback|needs-triage
gpt-5.5,11786,[Bug]: SetupBrowserDxe build fails with CLANGPDB,mdemodulepkg,False,0.88,"This reports an EDK II package build failure with the CLANGPDB toolchain, which is a legitimate build/infrastructure issue worth investigation.",False,needs-maintainer-feedback|needs-triage
gpt-5.5,11772,[Bug]: FdfParser parse include statement before conditional statement,basetools,False,0.86,"The issue reports a plausible BaseTools FdfParser bug involving include and conditional parsing behavior, which is directly related to EDK II build infrastructure and is suitable for maintainer investigation.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.5,11764,[Bug]: SmiHandlerUnRegister  is pended forever when an unregistered SMI get called,mdemodulepkg,False,0.78,This appears to be a genuine firmware bug report in MdeModulePkg involving SMI handler unregister behavior and has enough context and maintainer engagement to investigate.,False,needs-maintainer-feedback|needs-owner|needs-triage
