model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
claude-sonnet-4-6,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,zhurui22,low,"This is a UEFI Shell input/keyboard issue in OvmfPkg with QEMU -nographic mode, which doesn't match any specific historical pattern precisely, but zhurui22 was assigned a similar UEFI Shell interaction bug (DXE_ASSERT with drvcfg command in UEFI Shell).",False,Damien-Chen,False
claude-sonnet-4-6,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"This bug is in MdeModulePkg/HiiDatabaseDxe and specifically involves a parser issue in GetNameElement(), which directly matches the historical pattern of YangGangUEFI being assigned HiiDatabaseDxe and GetNameElement bugs.",False,YangGangUEFI,True
claude-sonnet-4-6,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"The bug is in SetupBrowserDxe within MdeModulePkg, which matches the historical pattern of YangGangUEFI being assigned SetupBrowserDxe bugs.",False,YangGangUEFI,True
claude-sonnet-4-6,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"This is a QEMU-KVM guest boot failure on RISC-V in OvmfPkg, which exactly matches yechao-w's historical assignment pattern for RISC-V QEMU boot bugs.",False,yechao-w,True
claude-sonnet-4-6,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB build/link error in RedfishPkg, which exactly matches the historical pattern of mikebeaton being assigned RedfishPkg CLANGPDB build failures (as seen with the similar '_fltused' undefined symbol bug).",False,mikebeaton,True
claude-sonnet-4-6,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB build/link error in RedfishPkg, which exactly matches mikebeaton's pattern of being assigned CLANGPDB build/link errors specifically in RedfishPkg (directly analogous to the '_memcpy' undefined symbol bug also assigned to mikebeaton).",False,mikebeaton,True
claude-sonnet-4-6,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"This is a BaseTools bug about updating the NASM/nuget toolchain (mu_nasm nuget release), which directly matches the historical pattern of makubacki handling NASM/toolchain/nuget update bugs in BaseTools.",False,makubacki,True
claude-sonnet-4-6,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"This bug references a specific commit hash (901c4e3) that broke key response in Arm platform firmware menus, which exactly matches the historical pattern for mikebeaton handling regression bugs in Arm platform firmware menus.",False,mikebeaton,True
claude-sonnet-4-6,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,CryptoPkg build failure with VS2022 matches exactly the historical pattern for ardbiesheuvel (VS2022 build error bugs in CryptoPkg).,False,ardbiesheuvel,True
claude-sonnet-4-6,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"This bug is specifically about BaseRiscV64CpuTimerLib causing an OS-runtime crash, which matches exactly the historical pattern where zevorn has been assigned OS-runtime crash bugs in RISC-V timer libs (BaseRiscV64CpuTimerLib).",False,zevorn,True
claude-sonnet-4-6,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,"This is an ECC Check / CI failure bug in BaseTools, which matches exactly the historical pattern for bexcran.",False,bexcran,True
claude-sonnet-4-6,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,"This bug is about adding MRDIMM support in MemoryDeviceMemoryTechnologyTable in ShellPkg SMBIOS, which directly matches the historical pattern for NingFengGit (MRDIMM / MemoryDevice table additions in ShellPkg SMBIOS).",False,NingFengGit,True
