model,system,issue_id,title,package,type,priority,predicted_assignee,confidence,reason,true_assignee,correct
gpt-5.5,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,Damien-Chen,0.43,"The bug is an OvmfPkg/QEMU -nographic serial console keyboard handling issue, which does not match the more specific OvmfPkg memory, RISC-V, SEV, NetworkPkg, or Arm menu regression patterns.",Damien-Chen,True
gpt-5.5,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,YangGangUEFI,0.98,"The bug is in MdeModulePkg HiiDatabaseDxe and specifically GetNameElement(), which historically maps directly to YangGangUEFI.",YangGangUEFI,True
gpt-5.5,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,YangGangUEFI,0.9,"The bug is in MdeModulePkg SetupBrowserDxe, which matches the historical pattern assigning SetupBrowserDxe issues to YangGangUEFI.",YangGangUEFI,True
gpt-5.5,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,yechao-w,0.98,"The bug is an OvmfPkg RISC-V QEMU-KVM guest boot/start failure, which most precisely matches the historical pattern for yechao-w.",yechao-w,True
gpt-5.5,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,mikebeaton,0.98,"The bug is a CLANGPDB build/link failure in RedfishPkg, which precisely matches the historical mikebeaton assignment pattern.",mikebeaton,True
gpt-5.5,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,mikebeaton,0.98,"The bug is a RedfishPkg CLANGPDB lld-link undefined symbol build failure, which precisely matches the historical RedfishPkg CLANGPDB scope assigned to mikebeaton.",mikebeaton,True
gpt-5.5,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,makubacki,0.95,"The bug is in BaseTools and specifically concerns updating the mu_nasm NuGet/toolchain dependency to fix link issues, matching the NASM/toolchain/NuGet update pattern for makubacki.",makubacki,True
gpt-5.5,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,mikebeaton,0.96,"This is a commit-specific regression breaking Enter-key response in Arm platform firmware menus, which the historical patterns explicitly map to mikebeaton rather than general MdeModulePkg UI assignees.",mikebeaton,True
gpt-5.5,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,ardbiesheuvel,0.98,"The bug is specifically a CryptoPkg build failure with VS2022, which matches the historical CryptoPkg VS2022 build-error pattern assigned to ardbiesheuvel.",ardbiesheuvel,True
gpt-5.5,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,zevorn,0.98,"The bug is in OvmfPkg and specifically concerns an OS-runtime crash in the RISC-V BaseRiscV64CpuTimerLib, which matches the historical zevorn assignment pattern.",zevorn,True
gpt-5.5,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,bexcran,0.96,"The bug is in BaseTools and specifically concerns ECC Check failures in edk2 CI, which matches the historical BaseTools ECC Check/CI failure assignment pattern for bexcran.",bexcran,True
