model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
claude-sonnet-4-6,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.8,"This is a genuine bug report about keyboard input handling (specifically backspace) not working in UEFI shell under OvmfPkg when QEMU is launched with -nographic mode, which is a reproducible and specific firmware behavior issue.",False,needs-maintainer-feedback
claude-sonnet-4-6,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.92,"This is a valid bug report about the Uncrustify CI plugin/configuration incorrectly formatting DEBUG macros in a way that contradicts the EDK II Coding Standard, which is directly related to EDK II coding style enforcement tools.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-sonnet-4-6,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.85,"This is a legitimate bug report about missing retry logic in UsbMassStorageDxe's UsbMassReadBlocks function, which aligns with historical valid issues about USB mass storage robustness and hardening.",False,needs-maintainer-feedback|needs-triage
claude-sonnet-4-6,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.85,"This is a genuine bug report describing a parser issue in a specific EDK II driver function (GetNameElement() in HiiDatabaseDxe), which is a legitimate bug report for an EDK II package component.",False,
claude-sonnet-4-6,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.85,"This is a genuine bug report referencing a specific code issue introduced by a known PR in SetupBrowserDxe, which is a legitimate EDK II component with prior Coverity-related bug history.",False,needs-triage
claude-sonnet-4-6,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.95,"This is a legitimate build failure bug report where ShellPkg fails to build with GCC 16 due to -Werror flags, which is a real reproducible build infrastructure issue similar to other accepted GCC version build failures.",False,
claude-sonnet-4-6,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.8,"This appears to be a legitimate bug report about QEMU-KVM guest startup failure on RISC-V architecture with OvmfPkg, which relates to EDK II firmware running in a virtualized environment similar to other valid QEMU/KVM-related issues in this project.",False,needs-maintainer-feedback
claude-sonnet-4-6,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.9,"This is a legitimate bug report about a specific constant value mismatch in MdePkg, which is a genuine EDK II package issue that could affect firmware update status reporting.",False,needs-maintainer-feedback
claude-sonnet-4-6,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.95,"This is a genuine build failure bug report for EmulatorPkg where a missing header file 'termio.h' causes a fatal compilation error, which is a reproducible build infrastructure issue.",False,needs-triage
claude-sonnet-4-6,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.97,"This is a genuine build failure bug report for RedfishPkg with CLANGPDB toolchain on IA32 NOOPT, consistent with other valid build failure issues in the project history.",False,needs-maintainer-feedback|needs-triage
claude-sonnet-4-6,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.95,"This is a genuine build failure bug report for RedfishPkg with CLANGPDB toolchain, similar to other valid CLANGPDB build failure issues historically classified as VALID.",False,needs-maintainer-feedback|needs-triage
claude-sonnet-4-6,11878,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,standalonemmpkg,False,0.95,"This is a genuine build failure bug report for StandaloneMmPkg targeting AARCH64 with CLANGDWARF toolchain in RELEASE mode, which is a reproducible build infrastructure issue similar to historical valid bugs.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-sonnet-4-6,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.9,"This is a legitimate build infrastructure issue requesting an update to the mu_nasm nuget package to resolve IA32 CLANGDWARF link failures, which directly affects EDK II build toolchain functionality.",False,needs-maintainer-feedback|needs-triage
claude-sonnet-4-6,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.95,"This is a genuine bug report identifying a specific commit (901c4e3) that breaks Enter key response in ARM platform firmware menus, affecting ArmVirtPkg and MdeModulePkg components.",False,needs-triage
claude-sonnet-4-6,11800,[Bug]: non-x86 Option Rom never be reached if multiple Option Rom images are found on non-x86 platform.,mdemodulepkg,False,0.92,This is a genuine bug report describing a platform-specific code path issue in MdeModulePkg where non-x86 Option ROM images are skipped when multiple Option ROM images are present on non-x86 platforms.,False,needs-triage
claude-sonnet-4-6,11797,[Bug]: Build error when STATIC Stack check is enabled on X86 Architectures on GCC Build,mdepkg,False,0.95,"This is a genuine build failure bug report related to EDK II build infrastructure (GCC compiler with stack check enabled on X86), which is a legitimate and actionable issue for the project tracker.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-sonnet-4-6,11793,[Bug]: BdsDxe build fails with CLANGPDB,mdemodulepkg,False,0.95,"This is a legitimate build failure bug report for BdsDxe in MdeModulePkg when using the CLANGPDB toolchain, which is a real and reproducible EDK II build infrastructure issue.",False,needs-maintainer-feedback|needs-triage
claude-sonnet-4-6,11792,[Bug]: UefiPayloadPkg cannot be built with VS2022,uefipayloadpkg,False,0.95,"This is a legitimate build failure bug report for UefiPayloadPkg with a specific compiler (VS2022), which is directly actionable and relates to EDK II build infrastructure.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-sonnet-4-6,11791,[Bug]: SignedCapsulePkg cannot be built with VS2022,signedcapsulepkg,False,0.95,"This is a legitimate build failure bug report for SignedCapsulePkg with VS2022, which is directly analogous to historical valid issues like 'SignedCapsulePkg build failure (DEBUG / AARCH64 / GCC5)' and 'Build fail with VS2019'.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-sonnet-4-6,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,0.95,"This is a genuine build failure bug report for CryptoPkg with a specific compiler (VS2022), which is a real and actionable issue for the EDK II project.",False,needs-maintainer-feedback
claude-sonnet-4-6,11787,[Bug]: HiiDatabaseDxe build fails with CLANGPDB,mdemodulepkg,False,0.95,"This is a genuine build failure bug report for HiiDatabaseDxe with the CLANGPDB toolchain, which is a legitimate and reproducible EDK II build infrastructure issue similar to the historically VALID CLANGPDB build failure in StandaloneMmCoreEntryPoint.",False,needs-maintainer-feedback|needs-triage
