model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
claude-opus-4-7,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.7,"This is a specific, reproducible bug report about backspace key not working in UEFI shell under QEMU's -nographic mode, which is a legitimate EDK II/OVMF issue worth investigating.",False,needs-maintainer-feedback
claude-opus-4-7,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.85,"This is a legitimate bug report about EDK II coding style enforcement tooling (Uncrustify) producing output that contradicts the official Coding Standard, which is a valid concern for the project.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-opus-4-7,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.8,"This is a specific bug/enhancement report about USB mass storage driver behavior, similar to historical VALID issues regarding USB mass storage hardening.",False,needs-maintainer-feedback|needs-triage
claude-opus-4-7,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.8,"This appears to be a specific bug report about a parser issue in a named function within HiiDatabaseDxe, which is a legitimate EDK II component.",False,
claude-opus-4-7,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.85,"This is a specific bug report referencing a known PR introducing code issues in SetupBrowserDxe, similar to historical VALID issues in the same component.",False,needs-triage
claude-opus-4-7,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.95,"This is a legitimate build failure report with a specific compiler (GCC 16) and flag (-Werror) affecting ShellPkg, similar to historical VALID build failure issues.",False,
claude-opus-4-7,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.7,"This appears to be a genuine bug report about OVMF/EDK II failing to boot a QEMU-KVM guest on RISC-V, which is a legitimate firmware issue worth investigating.",False,needs-maintainer-feedback
claude-opus-4-7,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.85,"This appears to be a legitimate bug report about a value mismatch in a defined constant in MdePkg, which is a real code/spec consistency issue worth investigating.",False,needs-maintainer-feedback
claude-opus-4-7,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.85,"This is a legitimate build failure report for EmulatorPkg with a specific missing header file error, similar to historical VALID EmulatorPkg build issues.",False,needs-triage
claude-opus-4-7,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.9,"This is a legitimate build failure report for a specific package and toolchain combination, similar to other VALID build failure issues in the project history.",False,needs-maintainer-feedback|needs-triage
claude-opus-4-7,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.9,"This is a legitimate build failure report for RedfishPkg with the CLANGPDB toolchain, similar to prior valid CLANGPDB build failure issues.",False,needs-maintainer-feedback|needs-triage
