model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
claude-haiku-4-5,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.85,"This is a legitimate bug report describing a reproducible input handling issue in EDK II firmware (OvmfPkg) affecting keyboard functionality in UEFI shell on QEMU, which requires investigation and fixing.",False,needs-maintainer-feedback
claude-haiku-4-5,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.92,"This is a valid bug report about EDK II's coding style enforcement tool (Uncrustify) producing output that contradicts the project's Coding Standard, which relates to EDK II build infrastructure and code quality tooling.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-haiku-4-5,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.95,"This is a legitimate bug report describing a missing retry mechanism in UsbMassStorageDxe that could improve robustness against transient USB failures, which is a valid firmware reliability improvement request for MdeModulePkg.",False,needs-maintainer-feedback|needs-triage
claude-haiku-4-5,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.85,"This is a genuine bug report for a parser issue in a specific EDK II module (MdeModulePkg/HiiDatabaseDxe), which is a legitimate firmware component issue worthy of investigation.",False,
claude-haiku-4-5,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.92,"This is a legitimate bug report identifying a code issue in MdeModulePkg/SetupBrowserDxe introduced by a specific PR, which relates to EDK II firmware components and requires investigation.",False,needs-triage
claude-haiku-4-5,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.95,"This is a legitimate build failure report for ShellPkg with a newer GCC compiler version, analogous to historical VALID issues like StdLib build failures with GCC5/6 and RISC-V build failures with GCC 10.",False,
claude-haiku-4-5,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.85,"This is a valid bug report describing a failure to start a RISC-V guest in qemu-kvm with OvmfPkg, which is a legitimate EDK II firmware component issue similar to other validated hypervisor-related bugs.",False,needs-maintainer-feedback
claude-haiku-4-5,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.88,"This is a legitimate bug report about a constant value mismatch in MdePkg, which is a core EDK II package containing platform-independent definitions and protocols that require accuracy.",False,needs-maintainer-feedback
claude-haiku-4-5,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.92,"This is a genuine build failure in EmulatorPkg's Unix host code where a required system header file (termio.h) is missing, which is a legitimate bug affecting the firmware build infrastructure.",False,needs-triage
claude-haiku-4-5,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.95,"This is a genuine build failure in RedfishPkg with a specific toolchain (CLANGPDB, IA32 NOOPT) that aligns with similar historically-valid EDK II build failures involving compiler/linker issues.",False,needs-maintainer-feedback|needs-triage
