model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
gpt-5.4-mini,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.95,"This is a reproducible bug report about UEFI Shell keyboard behavior under QEMU -nographic mode, which is directly relevant to EDK II/OVMF and therefore valid.",False,needs-maintainer-feedback
gpt-5.4-mini,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.98,"This is a legitimate EDK II coding-style/tooling bug report: it identifies Uncrustify formatting DEBUG macros incorrectly and cites a specific coding standard contradiction, which is relevant to BaseTools/CI enforcement.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.4-mini,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.97,"This is a legitimate bug report against UsbMassStorageDxe describing a reliability issue and a concrete missing retry mechanism for transient USB failures, which is relevant to EDK II firmware code.",False,needs-maintainer-feedback|needs-triage
gpt-5.4-mini,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.95,"This appears to be a genuine EDK II bug report in MdeModulePkg/HiiDatabaseDxe describing a parser issue in GetNameElement(), which is directly relevant to firmware code and actionable.",False,
gpt-5.4-mini,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.86,"This appears to be a genuine EDK II bug report in SetupBrowserDxe referencing a specific pull request and package, which is a legitimate firmware code issue requiring investigation.",False,needs-triage
gpt-5.4-mini,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.99,"This is a legitimate build failure in ShellPkg caused by GCC 16 warnings being treated as errors, which is directly relevant to EDK II build infrastructure.",False,
gpt-5.4-mini,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.93,"This is a genuine platform/virtualization startup failure on RISC-V involving qemu-kvm and ovmfpkg, which is relevant to EDK II and appears to be a real bug report rather than a general usage question.",False,needs-maintainer-feedback
gpt-5.4-mini,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.96,"This is a concrete EDK II MdePkg bug report about a likely spec/value mismatch in a defined status code constant, which is a legitimate firmware package issue.",False,needs-maintainer-feedback
gpt-5.4-mini,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.99,"This is a genuine EDK II build failure in EmulatorPkg caused by a missing host header on Unix, which is directly relevant to the project and actionable.",False,needs-triage
gpt-5.4-mini,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.99,"This is a concrete EDK II build failure in RedfishPkg with a specific toolchain/configuration and an undefined symbol error, so it is a valid issue.",False,needs-maintainer-feedback|needs-triage
gpt-5.4-mini,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.99,"This is a genuine EDK II build failure in RedfishPkg with CLANGPDB reporting an undefined symbol, which is clearly relevant and actionable for the project.",False,needs-maintainer-feedback|needs-triage
gpt-5.4-mini,11878,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,standalonemmpkg,False,0.99,"This is a concrete EDK II build failure affecting StandaloneMmPkg with a specific toolchain, target, and architecture, so it is a valid bug report.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.4-mini,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.98,"This is a legitimate BaseTools build/toolchain issue requesting a NASM package update to fix IA32 CLANGDWARF link failures, which is directly relevant to EDK II infrastructure.",False,needs-maintainer-feedback|needs-triage
gpt-5.4-mini,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.97,"This is a specific bug report about a regression in Arm platform firmware menu input handling caused by a particular commit, which is directly relevant to EDK II and reproducible enough to investigate.",False,needs-triage
gpt-5.4-mini,11800,[Bug]: non-x86 Option Rom never be reached if multiple Option Rom images are found on non-x86 platform.,mdemodulepkg,False,0.97,"This is a plausible EDK II firmware bug affecting non-x86 Option ROM handling on platforms with multiple ROM images, so it is a valid project issue.",False,needs-triage
gpt-5.4-mini,11797,[Bug]: Build error when STATIC Stack check is enabled on X86 Architectures on GCC Build,mdepkg,False,0.98,"This is a build failure report in MdePkg related to GCC on X86 when STATIC Stack check is enabled, which is a legitimate EDK II build issue and not a usage question or unrelated topic.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.4-mini,11793,[Bug]: BdsDxe build fails with CLANGPDB,mdemodulepkg,False,0.98,"This is a concrete build failure in BdsDxe with the CLANGPDB toolchain, which is directly relevant to EDK II and matches prior valid build-bug reports.",False,needs-maintainer-feedback|needs-triage
gpt-5.4-mini,11792,[Bug]: UefiPayloadPkg cannot be built with VS2022,uefipayloadpkg,False,0.99,"This is a genuine build failure report affecting UefiPayloadPkg with a specific toolchain (VS2022), which is a valid EDK II issue.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.4-mini,11791,[Bug]: SignedCapsulePkg cannot be built with VS2022,signedcapsulepkg,False,0.98,"This is a specific build failure in SignedCapsulePkg with VS2022, which is a legitimate EDK II tooling/compiler compatibility issue and therefore valid.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.4-mini,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,0.98,"This is a legitimate build failure report for CryptoPkg with VS2022, which is directly relevant to EDK II and needs investigation.",False,needs-maintainer-feedback
gpt-5.4-mini,11787,[Bug]: HiiDatabaseDxe build fails with CLANGPDB,mdemodulepkg,False,0.99,"This is a genuine EDK II build failure report affecting HiiDatabaseDxe with CLANGPDB, which is squarely in scope and actionable.",False,needs-maintainer-feedback|needs-triage
gpt-5.4-mini,11786,[Bug]: SetupBrowserDxe build fails with CLANGPDB,mdemodulepkg,False,0.99,"This is a genuine EDK II build failure report for SetupBrowserDxe with CLANGPDB, which is in scope and actionable.",False,needs-maintainer-feedback|needs-triage
gpt-5.4-mini,11772,[Bug]: FdfParser parse include statement before conditional statement,basetools,False,0.96,"This is a legitimate BaseTools/FDF parser bug report about statement parsing order, which is directly relevant to EDK II build tooling and not a general usage question.",False,needs-maintainer-feedback|needs-owner|needs-triage
