model,system,issue_id,title,package,is_duplicate,duplicate_of,duplicate_title,confidence,reason
claude-sonnet-4-6,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,,,0.95,None of the candidate issues report the same bug about keyboard backspace not working in UEFI shell when launching QEMU with -nographic mode.
claude-sonnet-4-6,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,,,0.95,"The query issue reports a parser bug in HiiDatabaseDxe's GetNameElement() function, which is distinct from all candidate issues covering SetupBrowserDxe, build errors, linker warnings, and CryptoPkg issues."
claude-sonnet-4-6,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,,,0.1,"The query issue is about a specific code bug in SetupBrowserDxe introduced by PR #11686, while none of the candidates report the same bug in the same component."
claude-sonnet-4-6,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,,,0.1,"The query issue is about QEMU-KVM guest start failure on RISC-V, while none of the candidate issues report the same specific bug."
claude-sonnet-4-6,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,,,0.15,"Issue #11882 reports an undefined symbol '_memcpy' error in NOOPT builds, while the closest candidate (#11881) reports an undefined symbol '_fltused' error in DEBUG/RELEASE builds — these are distinct missing symbols with different root causes."
claude-sonnet-4-6,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,,,0.1,"While issue #11882 is related (same package, same toolchain, same build error type), it reports a different undefined symbol (_memcpy vs _fltused), making them distinct bugs."
claude-sonnet-4-6,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,,,0.05,"The query issue is about updating mu_nasm nuget release to fix IA32 CLANGDWARF link issues, while none of the candidate issues address the same bug or request."
claude-sonnet-4-6,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,,,0.95,No candidate issue reports the same bug about commit 901c4e3 breaking Enter key response in Arm platform firmware menus.
claude-sonnet-4-6,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,,,0.1,"No candidate issue reports the same VS2022 build failure in CryptoPkg; the closest candidate (#11391) involves a CLANG compiler build error, not VS2022."
claude-sonnet-4-6,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,False,,,0.05,None of the candidate issues report the same bug about BaseRiscV64CpuTimerLib being unsafe for OS-runtime causing crashes in RealTimeClockRuntimeDxe.
claude-sonnet-4-6,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,False,,,0.0,None of the candidate issues relate to ECC check silently failing in edk2 CI for Windows and Linux in basetools.
claude-sonnet-4-6,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,False,,,0.05,"The query issue requests MRDIMM support in ShellPkg's SmbioView for SMBIOS v3.8, which is distinct from all candidate issues covering different bugs in different packages."
claude-sonnet-4-6,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,False,,,0.05,None of the candidate issues relate to BSP freeing AP reset vector buffers during AP wake-up in ueficpupkg.
claude-sonnet-4-6,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,False,,,0.2,"While issue #11790 also involves CryptoPkg build failures, it specifically targets VS2022 compiler whereas #11391 is about the CLANG compiler, making them distinct bugs."
claude-sonnet-4-6,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,False,,,0.05,None of the candidate issues report the same bug about UEFI runtime drivers loaded after EndOfDxe not being executable by the OS.
claude-sonnet-4-6,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,False,,,0.05,None of the candidate issues report the same bug about TCG2/TPM2 support failing on RISC-V in OvmfPkg.
claude-sonnet-4-6,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,False,,,0.0,None of the candidate issues relate to infinite loop or DeviceList handling bugs in OpalPassword (securitypkg).
claude-sonnet-4-6,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,False,,,0.1,None of the candidate issues report the same bug about an assert triggered when a default string ID is 0 in MdeModulePkg.
claude-sonnet-4-6,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,False,,,0.05,"The query issue reports a CodeQL error in NetworkPkg/NetBuffer.c, which is unrelated to any of the candidate issues about build errors, linker warnings, or parser issues in different packages."
claude-sonnet-4-6,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,False,,,0.05,"The query issue is about replacing a hardcoded value with a #define constant in networkpkg, which is unrelated to any of the candidate issues."
claude-sonnet-4-6,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,False,,,0.98,"The query issue is about Var Store FTW spare block recovery after corruption in MdeModulePkg, which is entirely different from all candidate issues dealing with build failures, FV size, SEV/SEV-ES boot issues, or NASM updates."
claude-sonnet-4-6,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,False,,,0.95,None of the candidate issues report the same bug about InstallProtocolInterface() not updating the key of an existing handle in MdeModulePkg.
claude-sonnet-4-6,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,False,,,0.05,"The query issue about adding an 'Ask deepwiki' entry does not match any of the candidate issues, which cover unrelated topics like SMBIOS support, code bugs, OpenSSL updates, and network package constants."
claude-sonnet-4-6,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,False,,,0.05,None of the candidate issues report the same bug about OVMF's default build overwriting memory on FreePages() causing a page fault when pages are not writable.
claude-sonnet-4-6,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,False,,,0.05,None of the candidate issues report the same bug about Raid card option rom not being displayed in Device Manager after repair in Driver Health form.
claude-sonnet-4-6,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,False,,,0.98,None of the candidate issues report the same bug about SEV/SEV-ES VM boot being broken due to a faulty check in AmdSvsmIsSvsmPresent().
claude-sonnet-4-6,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,False,,,0.05,None of the candidate issues report the same bug about an unexpected black box appearing at Setup Hotkey Region.
claude-sonnet-4-6,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,False,,,0.05,None of the candidate issues report an OvmfPkg build failure due to insufficient FV size in edk2-stable202502.
claude-sonnet-4-6,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,False,,,0.1,"The query issue reports a specific LNK2001 linker error for __security_pop_cookie in SafeString.obj on AARCH64 in MdePkg, which does not match any of the candidate issues."
claude-sonnet-4-6,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,False,,,0.99,"The query issue is about FSP-T arch UPD TemporaryRamSize configuration in intelfsp2pkg, which is unrelated to any of the candidate issues covering ShellPkg ARMV9, RISC-V timer library, TPM2 on RISC-V, SEV/SEV-ES VM boot, or OVMF FreePages memory overwrite."
claude-sonnet-4-6,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,False,,,0.1,None of the candidate issues report the same bug about DXE core memory protection causing inconsistency between GCD internal data structure and CPU page table.
claude-sonnet-4-6,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,False,,,0.05,No candidate issue reports the same bug about adding ARMV9 support to the SmbioView command's Type 4 processor information handling in ShellPkg.
claude-sonnet-4-6,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,False,,,0.99,None of the candidate issues relate to updating OpenSSL to 3.4.1 for CVE-2024-13176 in the cryptopkg.
claude-sonnet-4-6,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,False,,,0.95,None of the candidate issues report the same bug about QEMU_EFI not loading network protocol drivers and the http EFI command failing.
claude-sonnet-4-6,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,False,,,0.95,None of the candidate issues report the same bug about CLANGPDB linker warning '/align without /driver'; they cover different build errors or unrelated bugs.
claude-sonnet-4-6,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,False,,,0.05,None of the candidate issues report the same bug of a DXE_ASSERT occurring when issuing the drvcfg command in UEFI Shell.
claude-sonnet-4-6,A,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,False,,,0.95,"The query issue is about BaseTools FMMT handling a None Parent.Data case, which is unrelated to any of the candidate issues covering topics like RISC-V timer, protocol interfaces, HII database parsing, string IDs, or memory protection."
