model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
gpt-4.1-mini,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.9,"The issue reports a reproducible bug in the ovmfpkg related to keyboard input in UEFI shell under QEMU -nographic mode, which is relevant and contains enough context to investigate.",False,needs-maintainer-feedback
gpt-4.1-mini,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.9,"The issue reports a bug in the Uncrustify configuration related to coding style enforcement, which is relevant to EDK II coding style tools.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4.1-mini,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.95,"The issue reports a potential bug in UsbMassStorageDxe driver related to missing retry mechanism, which is a valid bug report for an EDK II driver.",False,needs-maintainer-feedback|needs-triage
gpt-4.1-mini,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.9,"The issue reports a parser bug in GetNameElement() within MdeModulePkg, which is a valid bug report related to an EDK II package.",False,
gpt-4.1-mini,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.9,"The issue reports a code problem in SetupBrowserDxe related to a specific pull request, indicating a genuine bug report in an EDK II package.",False,needs-triage
gpt-4.1-mini,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.95,"The issue reports a build failure of ShellPkg with GCC 16 and -Werror, which is a valid bug report with enough information to investigate.",False,
gpt-4.1-mini,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.9,"The issue reports a bug related to starting a QEMU-KVM guest on RISC-V in the ovmfpkg, which is a valid bug report for EDK II.",False,needs-maintainer-feedback
gpt-4.1-mini,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.9,"The issue reports a bug related to a specific constant value in an EDK II package, which is relevant and likely reproducible.",False,needs-maintainer-feedback
gpt-4.1-mini,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.95,"The issue reports a build failure due to a missing header file in EmulatorPkg, which is relevant and has enough information to investigate.",False,needs-triage
gpt-4.1-mini,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.95,"The issue reports a build failure in RedfishPkg with a specific linker error, providing a reproducible problem relevant to EDK II firmware development.",False,needs-maintainer-feedback|needs-triage
gpt-4.1-mini,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.95,"The issue reports a build failure in RedfishPkg with a specific linker error, providing a reproducible problem related to EDK II build infrastructure.",False,needs-maintainer-feedback|needs-triage
gpt-4.1-mini,11878,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,standalonemmpkg,False,0.95,"The issue reports a build failure with CLANGDWARF for RELEASE AARCH64 StandaloneMmPkg, which is a genuine bug related to EDK II build infrastructure and firmware components.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4.1-mini,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.95,"The issue reports a build-related problem involving mu_nasm and linker issues, which is relevant to EDK II build infrastructure and contains actionable information.",False,needs-maintainer-feedback|needs-triage
