model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
claude-sonnet-4-6,B,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,zhurui22,low,"This is a UEFI Shell input/keyboard bug in OvmfPkg (QEMU -nographic mode), and zhurui22 was assigned a similar UEFI Shell interaction bug (DXE_ASSERT with drvcfg command), making them a candidate, though no pattern directly covers keyboard/serial console input issues in OvmfPkg.",False,Damien-Chen,False
claude-sonnet-4-6,B,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"This bug is in MdeModulePkg/HiiDatabaseDxe and specifically involves a parser issue in GetNameElement(), which matches the historical pattern of YangGangUEFI being assigned HiiDatabaseDxe and GetNameElement bugs.",False,YangGangUEFI,True
claude-sonnet-4-6,B,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"The bug is in SetupBrowserDxe within MdeModulePkg, which matches YangGangUEFI's established pattern of being assigned SetupBrowserDxe bugs.",False,YangGangUEFI,True
claude-sonnet-4-6,B,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"This is a QEMU-KVM guest boot failure on RISC-V in OvmfPkg, which matches exactly the pattern assigned to yechao-w (RISC-V QEMU boot failures, not SEV/AMD which would go to jxu023).",False,yechao-w,True
claude-sonnet-4-6,B,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB build/link error in RedfishPkg (undefined symbol: _memcpy), which matches exactly the historical pattern of mikebeaton being assigned CLANGPDB build/link errors in RedfishPkg, analogous to the '_fltused' example in the training data.",False,mikebeaton,True
claude-sonnet-4-6,B,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB build/link error in RedfishPkg (undefined symbol: _fltused), which matches the historical pattern of mikebeaton being assigned CLANGPDB build/link errors specifically in RedfishPkg.",False,mikebeaton,True
claude-sonnet-4-6,B,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"This is a BaseTools NASM/nuget update bug (updating mu_nasm nuget release), which precisely matches makubacki's historical pattern of handling NASM/toolchain/nuget update bugs in BaseTools.",False,makubacki,True
claude-sonnet-4-6,B,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"This bug references a specific commit hash (901c4e3) that broke key response in Arm platform firmware menus, which precisely matches the historical pattern of mikebeaton being assigned regression bugs referencing a commit hash in Arm platform firmware menus.",False,mikebeaton,True
claude-sonnet-4-6,B,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,CryptoPkg build error with VS2022 matches exactly the historical pattern where ardbiesheuvel handles VS2022 build error bugs in CryptoPkg.,False,ardbiesheuvel,True
claude-sonnet-4-6,B,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"This bug is about an OS-runtime crash in BaseRiscV64CpuTimerLib, which exactly matches the historical pattern for zevorn: OS-runtime crash bugs in RISC-V timer libs.",False,zevorn,True
claude-sonnet-4-6,B,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,"This is an ECC Check / CI failure bug in BaseTools, which precisely matches the historical pattern for bexcran.",False,bexcran,True
claude-sonnet-4-6,B,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,"This bug is about MRDIMM / MemoryDevice table additions in ShellPkg SMBIOS, which directly matches the historical pattern for NingFengGit.",False,NingFengGit,True
claude-sonnet-4-6,B,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"This is a UefiCpuPkg BSP/AP multiprocessor synchronisation bug (BSP freeing AP reset vector buffer while AP wake-up is in process), which exactly matches philnoh2's assigned domain of UefiCpuPkg BSP/AP multiprocessor synchronisation bugs.",False,philnoh2,True
claude-sonnet-4-6,B,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,3,needs-maintainer-feedback,mdkinney,high,"The bug is a CLANG compiler build error in CryptoPkg, which matches the historical pattern where mdkinney is assigned CLANG compiler build error bugs in CryptoPkg (distinct from ardbiesheuvel who handles VS2022 build errors in CryptoPkg).",False,mdkinney,True
claude-sonnet-4-6,B,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,5,needs-maintainer-feedback,vit9696,high,"This bug is about UEFI runtime drivers not being executable after EndOfDxe, which is explicitly a POLICY bug (runtime driver executability/access control) assigned to vit9696, not a physical memory bug for os-d.",False,vit9696,True
claude-sonnet-4-6,B,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,11,needs-maintainer-feedback,yechao-w,low,"The bug is in OvmfPkg on RISC-V platform, and yechao-w has been assigned RISC-V/QEMU boot failure bugs in OvmfPkg, though TCG2/TPM2 support is a more specialized sub-component not explicitly covered by any listed assignee's historical pattern.",False,Vogtinator,False
claude-sonnet-4-6,B,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,1,needs-maintainer-feedback,HunterChang030,high,"The bug is in SecurityPkg related to OpalPassword DeviceList handling, which directly matches the historical pattern for HunterChang030.",False,HunterChang030,True
claude-sonnet-4-6,B,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,4,nan,EricGao2015,high,"The bug involves an Assert triggered by a default string id of 0 in MdeModulePkg, which matches EricGao2015's pattern of handling Assert/string-id bugs in Setup/Device Manager forms.",False,EricGao2015,True
claude-sonnet-4-6,B,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,1,needs-triage,BritChesley,high,"This is a CodeQL / static-analysis bug in NetworkPkg (NetBuffer.c), which matches the historical pattern of BritChesley being assigned CodeQL/static-analysis bugs in NetworkPkg.",False,BritChesley,True
