model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
claude-opus-4-7,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.7,"This is a specific bug report about backspace key not working in UEFI shell under QEMU -nographic mode, which is a reproducible issue related to OvmfPkg serial console input handling.",False,needs-maintainer-feedback
claude-opus-4-7,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.85,This is a legitimate bug report about EDK II's coding style enforcement tool (Uncrustify) producing formatting that contradicts the documented Coding Standard.,False,needs-maintainer-feedback|needs-owner|needs-triage
claude-opus-4-7,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.8,"This appears to be a legitimate bug report about a missing retry mechanism in UsbMassStorageDxe driver, which is a valid concern for EDK II.",False,needs-maintainer-feedback|needs-triage
claude-opus-4-7,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.85,"This is a specific bug report identifying a parser issue in a named function within a known EDK II module, which is investigable.",False,
claude-opus-4-7,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.85,This appears to be a legitimate bug report identifying a code issue introduced by a specific PR in the SetupBrowserDxe component of MdeModulePkg.,False,needs-triage
claude-opus-4-7,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.9,"This is a legitimate build failure report involving GCC 16 with -Werror in ShellPkg, which is a real build infrastructure issue worth investigating.",False,
claude-opus-4-7,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.7,"This appears to be a genuine bug report about RISC-V OVMF guest boot failure under QEMU/KVM, which is a legitimate EDK II firmware issue worth investigating.",False,needs-maintainer-feedback
claude-opus-4-7,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.8,"This appears to be a legitimate bug report about a value mismatch in an MdePkg definition, which is a real code issue worth investigating.",False,needs-maintainer-feedback
claude-opus-4-7,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.8,"This is a legitimate build failure report for EmulatorPkg involving a missing system header, which is a real bug to investigate.",False,needs-triage
claude-opus-4-7,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.9,"This is a legitimate build failure bug report with specific toolchain (CLANGPDB), architecture (IA32), build target (NOOPT), and error message details, making it reproducible and investigable.",False,needs-maintainer-feedback|needs-triage
claude-opus-4-7,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.9,"This is a legitimate build failure bug report for RedfishPkg with the CLANGPDB toolchain, providing specific error information.",False,needs-maintainer-feedback|needs-triage
claude-opus-4-7,11878,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,standalonemmpkg,False,0.9,"This is a legitimate build failure bug report involving a specific toolchain (CLANGDWARF), target architecture (AARCH64), and package (StandaloneMmPkg), which is a valid EDK II build infrastructure issue.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-opus-4-7,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.85,This is a legitimate build infrastructure request to update the NASM tool version to fix linker issues with IA32 CLANGDWARF builds.,False,needs-maintainer-feedback|needs-triage
claude-opus-4-7,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.9,"This is a specific bug report identifying a regression caused by a known commit affecting menu input handling on ARM platforms, which is reproducible and actionable.",False,needs-triage
claude-opus-4-7,11800,[Bug]: non-x86 Option Rom never be reached if multiple Option Rom images are found on non-x86 platform.,mdemodulepkg,False,0.85,"This describes a specific, plausible bug in PCI option ROM enumeration logic on non-x86 platforms within MdeModulePkg, which is a legitimate firmware bug report.",False,needs-triage
claude-opus-4-7,11797,[Bug]: Build error when STATIC Stack check is enabled on X86 Architectures on GCC Build,mdepkg,False,0.85,"This is a legitimate build failure bug report related to GCC stack check on X86, which falls under EDK II build infrastructure and MdePkg.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-opus-4-7,11793,[Bug]: BdsDxe build fails with CLANGPDB,mdemodulepkg,False,0.9,"This is a legitimate build failure report for a specific EDK II package with a specific toolchain (CLANGPDB), which is a valid bug report.",False,needs-maintainer-feedback|needs-triage
claude-opus-4-7,11792,[Bug]: UefiPayloadPkg cannot be built with VS2022,uefipayloadpkg,False,0.85,"This is a legitimate build failure report for a specific EDK II package with a specific toolchain, which qualifies as a valid bug report.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-opus-4-7,11791,[Bug]: SignedCapsulePkg cannot be built with VS2022,signedcapsulepkg,False,0.9,"This is a concrete build failure report for a specific EDK II package with a specific toolchain, which is a legitimate bug report.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-opus-4-7,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,0.85,"This is a legitimate build failure report for a specific EDK II package with a specific toolchain, which is a valid bug report.",False,needs-maintainer-feedback
claude-opus-4-7,11787,[Bug]: HiiDatabaseDxe build fails with CLANGPDB,mdemodulepkg,False,0.9,"This is a legitimate build failure report for a specific EDK II module with a specific toolchain (CLANGPDB), which falls under valid bug reports.",False,needs-maintainer-feedback|needs-triage
claude-opus-4-7,11786,[Bug]: SetupBrowserDxe build fails with CLANGPDB,mdemodulepkg,False,0.9,"This is a genuine build failure report for a specific module with a specific toolchain, which is a legitimate bug report for EDK II.",False,needs-maintainer-feedback|needs-triage
claude-opus-4-7,11772,[Bug]: FdfParser parse include statement before conditional statement,basetools,False,0.8,"This is a genuine bug report about FdfParser in BaseTools incorrectly handling include statements before conditional statements, which relates to EDK II build infrastructure.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-opus-4-7,11764,[Bug]: SmiHandlerUnRegister  is pended forever when an unregistered SMI get called,mdemodulepkg,False,0.8,"This describes a specific bug where SmiHandlerUnRegister hangs when an unregistered SMI is called, which is a legitimate reproducible issue in MdeModulePkg.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-opus-4-7,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,False,0.95,"This is a specific bug report about a runtime crash in BaseRiscV64CpuTimerLib affecting RealTimeClockRuntimeDxe, with high engagement indicating a real, investigable firmware issue.",False,
claude-opus-4-7,11554,[Bug]: <title> Pci command -i can't display PCIe Designated Vendor Specific Extended Capability correctly.,shellpkg,False,0.8,"This appears to be a legitimate bug report about the Pci shell command not correctly displaying a specific PCIe extended capability, which is a real functional issue in ShellPkg.",False,needs-triage
claude-opus-4-7,11509,[Bug]: TCG2/TPM2 support on aarch64 does not work,ovmfpkg,False,0.85,"This is a specific bug report about TCG2/TPM2 support not functioning on aarch64 in OvmfPkg, which is a legitimate firmware bug needing investigation.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-opus-4-7,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,False,0.85,"This is a legitimate bug report about the ECC (coding style) check tool silently failing in CI, which relates to EDK II build infrastructure and coding style enforcement tools.",False,
claude-opus-4-7,11480,[Bug]: boot stuck in aarch64 uefi,armpkg|armplatformpkg|armvirtpkg,False,0.6,"Reports a reproducible boot hang on AArch64 UEFI with high engagement, suggesting a genuine bug worth investigating in ArmPkg/ArmVirtPkg.",False,needs-maintainer-feedback|needs-owner|needs-triage
claude-opus-4-7,11462,[Bug]: LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX value does not match the UEFI specification,mdepkg,False,0.9,"This describes a concrete spec-compliance bug where a defined value in MdePkg does not match the UEFI specification, which is a legitimate bug report.",False,needs-maintainer-feedback|needs-triage
claude-opus-4-7,11460,[Bug]: OVMF secure boot settings unusable with serial console,ovmfpkg,False,0.8,"This appears to be a genuine bug report about OVMF secure boot settings being unusable with a serial console, which is a legitimate firmware issue worth investigating.",False,needs-owner|needs-triage
claude-opus-4-7,11453,[Bug]: AsciiSPrint does not handle %s correctly,ovmfpkg,False,0.7,"This is a specific bug report about AsciiSPrint's handling of %s format specifier, which is a legitimate firmware bug claim worth investigating.",False,needs-owner|needs-triage
claude-opus-4-7,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,False,0.9,This is a legitimate feature request to add MRDIMM support to ShellPkg's SMBIOS table to comply with SMBIOS v3.8 specification.,False,needs-maintainer-feedback
claude-opus-4-7,11428,[Bug]: Terminal layout issue in Boot Manager when running qemu-system-x86_64 with -nographic,ovmfpkg,False,0.7,"This appears to be a legitimate bug report about a terminal display issue in the OVMF Boot Manager when using QEMU's -nographic mode, which is a reproducible scenario worth investigating.",False,needs-triage
claude-opus-4-7,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,False,0.85,"This describes a concrete race-condition bug in UefiCpuPkg where the BSP frees the AP reset vector buffer while AP wake-up is still in progress, which is a legitimate firmware bug report.",False,needs-maintainer-feedback
claude-opus-4-7,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,False,0.7,A build failure with the CLANG compiler in CryptoPkg is a legitimate build infrastructure bug report worth investigating.,False,needs-maintainer-feedback
claude-opus-4-7,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,False,0.85,"This describes a specific reproducible bug regarding UEFI runtime drivers loaded after EndOfDxe not being executable by the OS, which is a legitimate firmware bug report.",False,needs-maintainer-feedback
claude-opus-4-7,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,False,0.85,"This is a specific bug report about TCG2/TPM2 support failing on RISC-V OVMF, which is a legitimate firmware bug requiring investigation.",False,needs-maintainer-feedback
claude-opus-4-7,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,False,0.8,"The issue describes a specific potential bug (infinite loop and incorrect DeviceList handling) in a concrete EDK II component (OpalPassword in SecurityPkg), which qualifies as a legitimate bug report.",False,needs-maintainer-feedback
claude-opus-4-7,11299,[Bug]: Wide character display is truncated on BIOS Setup.,mdemodulepkg,False,0.7,"This appears to be a legitimate bug report about wide character rendering truncation in BIOS Setup UI within MdeModulePkg, which is a real firmware display issue worth investigating.",False,needs-triage
claude-opus-4-7,11292,"[Bug]: UEFI-SCT BBTestGetImageConformanceTestCheckpoint4 expects the GetImage() function to return an EFI_SECURITY_VIOLATION error, which deviates from the expected behavior defined in the UEFI specification.",other,False,0.7,"This appears to be a legitimate bug report about UEFI-SCT test behavior deviating from the UEFI specification, which is a real conformance issue worth investigating.",False,needs-maintainer-feedback|needs-owner|needs-triage
