model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
gpt-4o,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.9,"The issue describes a bug related to keyboard input in the UEFI shell, which is relevant to firmware development and EDK II functionality.",False,needs-maintainer-feedback
gpt-4o,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.9,"The issue relates to EDK II coding style enforcement tools, which is a valid concern for the project.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4o,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.95,"The issue describes a potential bug in the UsbMassStorageDxe driver related to handling transient USB failures, which is relevant to EDK II firmware development.",False,needs-maintainer-feedback|needs-triage
gpt-4o,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.9,"The issue is a bug report related to a parser issue in the HiiDatabaseDxe component of the MdeModulePkg, which is relevant to EDK II.",False,
gpt-4o,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.9,"The issue is related to a specific code problem in SetupBrowserDxe within the MdeModulePkg, which is part of EDK II, and references a specific pull request, indicating a potential bug or regression.",False,needs-triage
gpt-4o,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.9,"The issue relates to a build failure with a specific compiler version, which is relevant to EDK II build infrastructure.",False,
gpt-4o,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.8,"The issue relates to a potential bug involving QEMU-KVM guest start failure on RISC-V, which is relevant to EDK II's OvmfPkg.",False,needs-maintainer-feedback
gpt-4o,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.9,"The issue reports a mismatch in a value, which could indicate a bug in the MdePkg package.",False,needs-maintainer-feedback
gpt-4o,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.95,"The issue describes a build failure related to a missing header file in the EmulatorPkg, which is relevant to EDK II development.",False,needs-triage
gpt-4o,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.95,"The issue describes a build failure related to the RedfishPkg, which is relevant to EDK II firmware development.",False,needs-maintainer-feedback|needs-triage
gpt-4o,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.95,"The issue describes a build failure related to the RedfishPkg, which is relevant to EDK II development.",False,needs-maintainer-feedback|needs-triage
