model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
gpt-4o-mini,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.9,"This is a genuine bug report regarding keyboard functionality in the UEFI shell when using QEMU, which is relevant to EDK II.",False,needs-maintainer-feedback
gpt-4o-mini,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.9,"The issue describes a problem with Uncrustify configuration that affects coding style enforcement, which is relevant to the EDK II project.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4o-mini,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.95,This issue describes a genuine bug related to the UsbMassStorageDxe driver and its handling of transient USB failures.,False,needs-maintainer-feedback|needs-triage
gpt-4o-mini,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.9,"The issue describes a potential bug in the HiiDatabaseDxe module, which is relevant to EDK II development.",False,
gpt-4o-mini,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.9,"The issue references a code problem in SetupBrowserDxe related to a specific pull request, indicating a genuine bug report.",False,needs-triage
gpt-4o-mini,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.9,"This issue describes a build failure with a specific compiler version, which is a valid concern for the EDK II project.",False,
gpt-4o-mini,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.9,"The issue describes a genuine bug related to starting a guest on RISC-V with qemu-kvm, which is relevant to EDK II.",False,needs-maintainer-feedback
gpt-4o-mini,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.85,"The issue describes a potential bug related to a specific value in the MdePkg, which warrants further investigation.",False,needs-maintainer-feedback
gpt-4o-mini,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.9,"This issue describes a genuine build failure related to the EmulatorPkg, indicating a missing header file.",False,needs-triage
gpt-4o-mini,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.95,This issue describes a genuine build failure related to the RedfishPkg in the EDK II project.,False,needs-maintainer-feedback|needs-triage
gpt-4o-mini,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.9,"This issue describes a genuine build failure related to the RedfishPkg in CLANGPDB, which is relevant to EDK II.",False,needs-maintainer-feedback|needs-triage
gpt-4o-mini,11878,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,standalonemmpkg,False,0.95,"This issue describes a build failure for the StandaloneMmPkg with CLANGDWARF on AARCH64, which is a valid concern for the EDK II project.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4o-mini,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.9,"The issue describes a specific bug related to the mu_nasm nuget release affecting IA32 CLANGDWARF link issues, which is relevant to EDK II build infrastructure.",False,needs-maintainer-feedback|needs-triage
gpt-4o-mini,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.9,"This issue describes a genuine bug related to the response to the Enter key in Arm platform firmware menus, which is relevant to EDK II.",False,needs-triage
gpt-4o-mini,11800,[Bug]: non-x86 Option Rom never be reached if multiple Option Rom images are found on non-x86 platform.,mdemodulepkg,False,0.9,This issue describes a genuine bug related to the handling of Option Rom images on non-x86 platforms in the EDK II project.,False,needs-triage
gpt-4o-mini,11797,[Bug]: Build error when STATIC Stack check is enabled on X86 Architectures on GCC Build,mdepkg,False,0.95,"The issue describes a genuine build failure related to EDK II on X86 architectures with GCC, which is a valid concern for the project.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4o-mini,11793,[Bug]: BdsDxe build fails with CLANGPDB,mdemodulepkg,False,0.9,"The issue describes a build failure related to BdsDxe with CLANGPDB, which is a valid concern for the EDK II project.",False,needs-maintainer-feedback|needs-triage
gpt-4o-mini,11792,[Bug]: UefiPayloadPkg cannot be built with VS2022,uefipayloadpkg,False,0.9,"This issue describes a build failure with the UefiPayloadPkg, which is a valid concern for the EDK II project.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4o-mini,11791,[Bug]: SignedCapsulePkg cannot be built with VS2022,signedcapsulepkg,False,0.9,"The issue describes a build failure with a specific version of Visual Studio, which is relevant to the EDK II project.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4o-mini,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,0.9,"The issue describes a build failure with CryptoPkg, which is a valid concern for the EDK II project.",False,needs-maintainer-feedback
gpt-4o-mini,11787,[Bug]: HiiDatabaseDxe build fails with CLANGPDB,mdemodulepkg,False,0.9,"The issue describes a build failure related to the HiiDatabaseDxe module, which is relevant to EDK II development.",False,needs-maintainer-feedback|needs-triage
gpt-4o-mini,11786,[Bug]: SetupBrowserDxe build fails with CLANGPDB,mdemodulepkg,False,0.9,"The issue describes a build failure related to the SetupBrowserDxe component, which is a valid concern for the EDK II project.",False,needs-maintainer-feedback|needs-triage
